firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Makro Export Dış Ticaret Danışmanlık Ltd. Şti.","Firma","Dış ticaret / ihracat danışmanlığı","Ask Türkiye kaydı; Türkiye'den ürün almak isteyen yabancı firmalara ürün bulma, fabrika denetimi ve yükleme gözetimi; hedef pazarlara tedarik/ihracat potansiyeli","info@makroexport.com; sales@makroexport.com","+90 535 413 90 13","http://makroexport.com","https://www.askturkiye.com/company/makro-export-dis-ticaret-danismanlik-limited-sirketi"
"Motto Mekanik Enerji Sanayi ve Ticaret Ltd. Şti.","Firma","İş makineleri yedek parça / makine ekipmanları","Ask Türkiye kaydı; inşaat makineleri, beton santralleri ve ocak ekipmanları için yedek parça ve servis; ithalat-ihracat faaliyetleri","info@dgmakine.net","+90 539 442 94 06","http://www.dgmakine.net/en","https://askturkiye.com/company/motto-mekanik-enerji-sanayi-ve-ticaret-limited-sirketi?id=18712"
"Kronos Metal Ticaret ve Sanayi A.Ş.","Firma","Makine ekipmanı / metal ve mineral ürünler","Ask Türkiye kaydı; boya tabancaları, kumlama ürünleri, mineral ve kimyasal ürünler; hedef pazarlara sanayi tedariki potansiyeli","info@kronosmetal.com.tr","+90 422 502 10 35; +90 533 417 96 49","http://kronosmetal.com.tr","https://askturkiye.com/company/kronos-metal-ticaret-ve-sanayi-as"
"İlk İhracat A.Ş. / Steeling.net","Firma","Metal ve makine dış ticareti","Ask Türkiye kaydı; Türk üreticilerin ortak ihracat şirketi, sac/çelik/alüminyum/profil ve bağlantı elemanları tedariki","info@steeling.net","+90 533 212 65 95","http://steeling.net","https://askturkiye.com/company/ilk-ihracat-anonim-sirketi?id=19520"
"Asl Turkey International Trade İthalat İhracat Dış Ticaret Sanayi Ltd. Şti.","Firma","Dış ticaret / çok sektörlü ihracat","Ask Türkiye kaydı; kağıt, plastik, hammadde, tekstil, çimento, gıda, yapı malzemeleri, mermer ve diğer sektörlerde ihracat","info@aslturkey.com","+90 507 774 28 27","http://www.aslturkey.com","https://askturkiye.com/company/asl-turkey-international-trade-ithalat-ihracat-dis-ticaret-sanayi-ve-limited-sirketi"
"Sincer Lojistik","Firma","Lojistik / Ukrayna taşımacılığı","Türkiye-Ukrayna arasında acente ağıyla lojistik çözümleri; hedef pazar Ukrayna bağlantısı","info@sincerlojistik.com","","https://www.sincerlojistik.com","https://www.sincerlojistik.com"
"Mir Global Lojistik","Firma","Lojistik / multimodal ve intermodal taşımacılık","Türkiye merkezli multimodal/intermodal freight; demiryolu, denizyolu ve karayolu taşıma; hedef pazarlara transit ve dış ticaret lojistiği","murat.kaya@mirglobal.com.tr","","http://mirglobal.com.tr","https://platform.tracxn.com/a/d/company/69d49f870b77ea21b330ac99/mir?utm_source=parallel&utm_medium=ai#a:about"
"AAP Lojistik","Firma","Lojistik / Orta Asya ve Kafkasya taşımacılığı","Azerbaycan, Gürcistan, Rusya, Kazakistan, Türkmenistan, Kırgızistan, Özbekistan hatlarında taşımacılık bilgisi","info@aaplojistik.com.tr","+90 532 166 37 28","","https://www.instagram.com"
"Ersav Uluslararası Taşımacılık Ltd. Şti.","Firma","Lojistik / Orta Asya ve Kafkasya taşımacılığı","Azerbaycan, Gürcistan, Rusya, Kazakistan başta olmak üzere Orta Asya ve Kafkasya hattı","info@ersavlojistik.com","","","https://www.instagram.com"
"Kargolux","Firma","Kargo / Türkiye-Azerbaycan teslimat","Türkiye'den Azerbaycan'a hızlı, güvenli ve düşük maliyetli kargo teslimat hizmeti","info@kargolux.az","","https://sites.google.com/view/kargolux","https://sites.google.com/view/kargolux"
