firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Teo Export","Firma","Makine ve ihracat / dış ticaret","Ask Türkiye kaydı; Türk makine ve aksesuar ihracatçısı; hedef pazarlara makine ihracatı potansiyeli","info@teoexport.com; sales@teoexport.com","+90 258 262 06 20; +90 543 723 76 77","http://teoexport.com","https://test.askturkiye.com/company/teo-export?id=15122"
"Teksin Tarım Gıda Ürünleri Oto. İth. İhr. Tic. ve Nak. Ltd. Şti.","Firma","Yaş meyve sebze / tarım ürünleri ihracatı","Ask Türkiye kaydı; Hatay merkezli yaş meyve sebze ihracatçısı; hedef pazarlara gıda ihracatı potansiyeli","info@teksintarim.com","","","https://test.askturkiye.com/company/teksin-targidurunotoith-ihrticve-nakltdsti"
"Davutoğlu Metal Makina İmalat İnşaat Nakliye San. ve Tic. Ltd. Şti.","Firma","Çelik servis merkezi / metal ürünler","Ask Türkiye kaydı; yerel ve uluslararası müşterilere çelik ürünleri ve lojistik destek; hedef pazarlara çelik ihracatı potansiyeli","export@davutoglumetal.com","+90 262 626 43 42; +90 534 088 87 58","http://www.davutoglumetal.com","https://www.askturkiye.com/company/davutoglu-metal-makina-imalat-insaat-nakliye-san-ve-tic-ltd-sti"
"Eng Mineral Sanayi Ticaret Ltd. Şti.","Firma","Maden / mineral ürünleri","Ask Türkiye kaydı; Türk makine ve maden ürünleri sektörlerinde ihracatçı profil","info@engmineral.com.tr","+90 264 276 06 06","","https://askturkiye.com/company/eng-mineral-sanayi-ticaret-ltdsti"
"Darhan Yapı ve Endüstri Sanayi Ticaret A.Ş.","Firma","Modüler destek sistemleri / yapı ve endüstri","Ask Türkiye kaydı; mekanik, elektrik ve tesisat montajları için modüler destek sistemleri üretimi; altyapı ve sanayi projelerine ihracat potansiyeli","ahmetcaglar@darhan.com.tr","","http://www.darhan.com.tr","https://askturkiye.com/company/darhan-yapi-ve-endustri-sanayi-ticaret-anonim-sirketi?id=21120"
"Pusat Rail","Firma","Demiryolu taşımacılığı ve lojistik","Türkiye'den Çin'e demiryolu taşımacılığı; Orta Koridor/Orta Asya lojistik bağlantısı ve hedef pazarlara demiryolu taşımacılığı potansiyeli","info@pusatrail.com","+90 312 814 99 99; +90 533 576 25 56","https://pusatrail.com","https://pusatrail.com"
"Cihansan Global Lojistik","Firma","Lojistik / Gürcistan taşımacılığı","Türkiye-Gürcistan taşımacılığı; Gürcistan hattı lojistik hizmetleri","info@cihansanglobal.com","+90 324 231 78 41","http://cihansanglobal.com","http://cihansanglobal.com"
"Demirkol Lojistik","Firma","Lojistik / Gürcistan ve Azerbaycan taşımacılığı","Türkiye, Gürcistan, Azerbaycan hatlarında kara, hava ve ekspres minivan taşımacılığı; yurtdışı ofisler","info@demirkollojistik.com","","https://www.demirkollojistik.com","https://www.demirkollojistik.com"
"Gültekin Uluslararası Lojistik","Firma","Lojistik / Azerbaycan araç taşımacılığı","Türkiye'den Azerbaycan'a düzenli araç taşımacılığı ve uluslararası lojistik","info@gultekinnakliyat.com","","https://gultekinnakliyat.com","https://gultekinnakliyat.com"
"Eratek Lojistik","Firma","Lojistik / Gürcistan-Azerbaycan hattı","Hopa/Artvin merkezli lojistik; Gürcistan ve Azerbaycan bağlantılı taşımacılık potansiyeli","info@erateklojistik.com; istanbul@erateklojistik.com","+90 466 351 52 27","https://erateklojistik.com","https://erateklojistik.com"
