firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Özcan Mutfak Araç Gereçleri San. ve Tic. Ltd. Şti. / Kuleli","Üretici/İhracatçı","Mutfak gereçleri, çatal-kaşık-bıçak","TİM Uzbekistan Tashkent 2026 katılımcısı; kaşık, çatal, bıçak ve mutfak gereçleri ile Özbekistan hedef pazarı","info@kuleli.eu","0212 423 05 30; 0212 423 61 18","https://www.kuleli.eu","https://delegations.tim.org.tr/event/uzbekistan-tashkent-2026/company/kuleli-1; http://kuleli.eu/iletisim.html; http://www.kuleli.eu/"
"Sora Kozmetik Sanayi Ticaret A.Ş. / Sora Cosmetics","Üretici/İhracatçı","Kozmetik, FMCG, kişisel bakım","TİM Kazakhstan-Kyrgyzstan 2024 katılımcısı; 140'tan fazla ülkeye ihracat beyanı ve Kazakistan/Kırgızistan hedef pazarı","info@soracosmetics.com","+90 212 738 84 64","https://soracosmetics.com/","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/sora-cosmetics-5; https://soracosmetics.com/contacts; https://soracosmetics.com/"
"Aldera Dış Ticaret ve Danışmanlık Ltd. Şti.","Dış ticaret/İhracatçı","Gıda, içecek, tarım ürünleri, maden/taş","Türkiye/Mersin merkezli ihracatçı-ithalatçı; gıda, içecek, baharat, tarım, makine, temizlik ekipmanı ve maden alanlarında dış ticaret beyanı","info@alderaturkey.com; ozankaleli@gmail.com","+90 545 424 19 63","http://alderaturkey.com; http://bayleafturkey.com","https://test.askturkiye.com/company/aldera-dis-ticaret-ve-danltdsti; https://www.stonecontact.com/suppliers-99316/aldera-turkey"
"Erberg Endüstriyel Ürünler İç ve Dış Ticaret Sanayi Ltd. Şti.","Tedarikçi/İhracatçı","Vana, otomasyon, endüstriyel ürünler, HVAC-R","Türkiye/İstanbul merkezli endüstriyel ürünler firması; Ask Türkiye kaydı ve resmi sitede iç-dış ticaret unvanı","info@erberg.com.tr","+90 536 414 24 20; +90 536 439 00 12","http://www.erberg.com.tr/","https://askturkiye.com/company/erberg-endustriyel-urunler-ic-ve-dis-ticaret-sanayi-limited-sirketi; http://erberg.com.tr/en/contact.asp; http://erberg.com.tr/iletisim.asp"
"Pista Fıstık Gıda İmalat İç ve Dış Ticaret Ltd. Şti.","Üretici/İhracatçı","Fıstık, gıda, şekerleme hammaddeleri","Türkiye merkezli gıda imalat ve dış ticaret firması; Ask Türkiye ihracatçı kaydı","info@pistagida.com.tr","+90 546 819 18 82","https://www.pistafood.com.tr","https://askturkiye.com/company/pista-fistik-gida-imalat-ic-ve-dis-ticaret-limited-sirketi"
"Saka Demir Çelik Sanayi ve Ticaret A.Ş.","Üretici/İhracatçı","Demir-çelik, döküm","Türkiye merkezli çelik/döküm üreticisi; Ask Türkiye steel/casting ihracatçı kaydı","export@sakadc.com.tr","+90 530 641 54 78","https://www.sakadc.com.tr/","https://www.askturkiye.com/company/saka-demir-celik-sanayi-ve-ticaret-anonim-sirketi"
"Aşkale Çimento Sanayi T.A.Ş.","Üretici","Çimento, hazır beton, yapı malzemeleri","Türkiye merkezli çimento ve yapı malzemeleri üreticisi; inşaat malzemeleri ihracat potansiyeli ve resmi iletişim e-postası","info@askalecimento.com.tr","+90 312 236 42 26","https://www.askalecimento.com.tr/","https://platform.tracxn.com/a/d/company/53aa1683e4b028b38bdbdfc4/askale-cimento; https://www.askalecimento.com.tr/"
"Turhal Enerji Sanayi ve Ticaret A.Ş.","Üretici/Yüklenici","Elektrik panoları, enerji, anahtar teslim elektrik taahhüt","Türkiye merkezli elektrik pano üreticisi ve endüstriyel elektrik taahhüt firması; ihracat/Orta Asya projeleri için uygun B2B hedef","info@turhalenerji.com.tr","","http://turhalenerji.com.tr","https://platform.tracxn.com/a/d/company/5f4f8a853f5b0a156ec9828a/turhal-energy"
"Alfa İndüksiyon Makina Elektrik Elektronik İç ve Dış San. Tic. Ltd. Şti.","Üretici/Servis sağlayıcı","İndüksiyon sistemleri, döküm makineleri, otomasyon","TİM Azerbaijan Baku 2026 katılımcısı; Konya merkezli indüksiyon ergitme fırınları, otomasyon sistemleri ve servis çözümleri ile Azerbaycan hedef pazarı","muhasebe@alfainduksiyon.com","+90 332 260 00 93","https://www.alfainduksiyon.com/","https://delegations.tim.org.tr/event/azerbaijan-baku-2026/company/alfa-induksiyon-makina; https://www.alfainduksiyon.com/; https://elektrikcirehberi.com/alfa-indiksiyon-makina-elektrik-ltd-sti-endustriyel-induksiyon-sistemlerinde-guvenilir-cozumler"
"Mira 14 Lojistik","Lojistik hizmet sağlayıcı","Uluslararası nakliye ve lojistik","Türkiye merkezli lojistik firması; Rusya ve Gürcistan hatları, parsiyel/komple TIR taşımacılığı","info@mira14lojistik.com","+90 507 238 75 03","https://mira14lojistik.com/","http://mira14lojistik.com/rusya-nakliye/; https://mira14lojistik.com/gurcistan-nakliye/; https://mira14lojistik.com/"
