firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"AFS Flexible Kanal Ticareti A.Ş.","Üretici/İhracatçı","HVAC-R, flexible hava kanalları, havalandırma ekipmanları","Türkiye/Ankara merkezli HVAC sektör liderlerinden; Turkish HVAC-R Industry kaydı ve uluslararası tedarik potansiyeli","marketing@afs.com.tr","+90 312 395 48 60","http://afs.com.tr","https://askturkiye.com/company/afs-flexible-kanal-ticareti-as?id=16107"
"Gets Lojistik","Lojistik hizmet sağlayıcı","Uluslararası lojistik ve taşımacılık","Türkiye/İstanbul merkezli lojistik firması; Kazakistan ve bölge taşımacılığı için önceki kaynaklarda hedef pazar bağlantısı görüldü","info@getslojistik.com","+90 212 599 95 15","https://getslojistik.com/","https://getslojistik.com/iletisim"
"İnova Steel Dış Ticaret A.Ş.","Dış ticaret/İhracatçı","Demir-çelik ürünleri, enerji, inşaat, makine, otomotiv, beyaz eşya ve tarım sektörleri","Türkiye'nin global demir-çelik tedarikçisi; ISO belgeli ve uluslararası pazarlara geniş ürün portföyü sunuyor","aygul@inovasteel.com.tr","+90 533 088 57 82","https://www.inovasteel.com.tr/","https://askturkiye.com/company/inova-steel-dis-ticaret-anonim-sirketi"
"Teo Export","İhracatçı/Tedarikçi","Yaş meyve-sebze, kuru meyve, baklava, lokum, gıda ürünleri","Türkiye/Denizli merkezli gıda ihracatçısı; elma, narenciye, nar, üzüm, kuru incir, kayısı ve yerel ürün ihracatı","info@teoexport.com; sales@teoexport.com","+90 258 262 06 20; +90 543 723 76 77","http://teoexport.com","https://test.askturkiye.com/company/teo-export?id=15122; https://askturkiye.com/company/teo-export?id=15118"
"Teksin Tarım Gıda Ürünleri Oto. İth. İhr. Tic. ve Nak. Ltd. Şti.","Üretici/İhracatçı","Narenciye, yaş meyve-sebze, tarım ürünleri ve nakliye","Türkiye/Hatay merkezli; yaş meyve-sebze ihracatı ve taşımacılık bağlantısı bulunan tarım ihracatçısı","info@teksintarim.com","","http://teksintarim.com","https://test.askturkiye.com/company/teksin-targidurunotoith-ihrticve-nakltdsti"
"Mira Ekspres Lojistik","Lojistik hizmet sağlayıcı","Rusya, Ukrayna, Kazakistan, Kırgızistan, Azerbaycan nakliye","Türkiye merkezli; Rusya, Ukrayna, Kazakistan, Kırgızistan, Azerbaycan ve Orta Asya hatlarında parsiyel/komple nakliye hizmetleri","info@miraekspres.com; info@miraeskpres.com","","https://www.miraekspres.com/","https://www.miraekspres.com/; https://www.miraekspres.com/kazakistan-nakliye; https://www.miraekspres.com/kirgizistan-nakliye"
"MyFilo Lojistik","Lojistik hizmet sağlayıcı","Kazakistan nakliye, lojistik hizmetleri","Türkiye-Kazakistan taşıma hattı için lojistik hizmet ve fiyatlandırma sayfası bulunan firma","info@myfilo.com.tr","","https://www.myfilo.com.tr/kazakistan-nakliye-hizmetlerimiz","https://www.myfilo.com.tr/kazakistan-nakliye-hizmetlerimiz"
"ITL International Transport Lojistik","Lojistik hizmet sağlayıcı","Kazakistan lojistik, uluslararası taşımacılık","Nakliyeilani Kazakistan lojistik firmaları listesinde İstanbul/Sultanbeyli merkezli Kazakistan lojistik hizmet sağlayıcısı olarak görünüyor","info@itllogistics.com.tr","+90 216 561 66 57; +90 532 134 23 94","","https://m.nakliyeilani.com/lojistik/106/26/kazakistan-lojistik"
"Ercem Lojistik","Lojistik hizmet sağlayıcı","Kazakistan lojistik, uluslararası taşımacılık","Nakliyeilani Kazakistan lojistik firmaları listesinde Çorum merkezli Kazakistan lojistik hizmet sağlayıcısı olarak görünüyor","info@ercemlojistik.com","+90 364 225 39 49; +90 532 453 23 88","","https://m.nakliyeilani.com/lojistik/106/26/kazakistan-lojistik"
"Cihan Akdan Lojistik","Lojistik hizmet sağlayıcı","Kazakistan lojistik, uluslararası taşımacılık","Nakliyeilani Kazakistan lojistik firmaları listesinde Konya/Selçuklu merkezli Kazakistan lojistik hizmet sağlayıcısı olarak görünüyor","info@cihanakdan.com","+90 536 488 37 88","","https://m.nakliyeilani.com/lojistik/106/26/kazakistan-lojistik"
