firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Boreas Global Lojistik","Firma","Uluslararası lojistik ve taşımacılık","Kaynakta profesyonel lojistik hizmetleri için firma emaili ve telefonları veriliyor; Orta Asya/Kafkasya lojistik hedef pazarları için aday olarak eklendi.","info@boreasgloballojistik.com","+90 216 469 00 61; +90 544 319 19 61","","https://www.instagram.com/reel/DT0Rg-lDPTm/"
"MFA Lojistik","Firma","Demiryolu ve Orta Asya/Rusya lojistik","Resmi hakkımızda sayfasında İran, Afganistan, Pakistan, Kazakistan, Özbekistan, Türkmenistan, Kırgızistan, Tacikistan ve Rusya ile karşılıklı demiryolu taşımaları yaptığı belirtiliyor; hedef pazar bağlantıları Kazakistan, Özbekistan, Kırgızistan ve Rusya olarak doğrulanıyor.","info@mfalojistik.com","","https://mfalojistik.com/hakkimizda","https://mfalojistik.com/hakkimizda"
"Mira 14 Lojistik","Firma","Rusya ve bölge nakliye/lojistik","Resmi Rusya nakliye sayfasında Türkiye-Rusya nakliye hizmeti, ayrıca hizmet bölgeleri arasında Türkmenistan, Tacikistan, Gürcistan, Kırgızistan ve Moğolistan listeleniyor; Rusya, Gürcistan ve Kırgızistan bağlantıları doğrulanıyor.","info@mira14lojistik.com","+90 507 238 75 03","http://mira14lojistik.com/rusya-nakliye/","http://mira14lojistik.com/rusya-nakliye/"
"Hammam Design Radiator","Firma","Tasarım radyatör ve ısıtma ürünleri","Resmi referans/ihracat sayfasında Ukrayna, Gürcistan, Taşkent Özbekistan, Astana Kazakistan ve Sochi Rusya otel/proje referansları yer alıyor; hedef pazar bağlantıları doğrulanıyor.","info@hammamradiator.com.tr","","https://hammamradiator.com.tr/referanslar","https://hammamradiator.com.tr/referanslar"
"MTT Wood Orman Ürünleri İç Dış Ticaret Ltd. Şti.","Firma","Orman ürünleri, dış ticaret ve ihracat operasyonları","Resmi ihracat sayfasında ihracat yapılan ülkeler arasında Ukrayna, Azerbaycan ve Gürcistan açıkça belirtiliyor; hedef pazar bağlantıları doğrulanıyor.","info@mttwood.com.tr","","http://mttwood.com.tr/ihracat","http://mttwood.com.tr/ihracat"
"Integral Group","Firma","Prefabrik/modüler yapı sistemleri ve global ihracat","Resmi ihracat ülkeleri sayfasında Azerbaycan dahil 60 ülkeye ihracat yaptığı belirtiliyor; Kafkasya ve Orta Asya yapı sistemleri hedef pazarları için aday firma.","info@integralgroup.com.tr","","https://tr.integralgroup.com.tr/countries","https://tr.integralgroup.com.tr/countries"
"Bianca Boya","Firma","Boya, dekoratif boya ve yapı kimyasalları","Kaynakta en çok ihracat yapılan ülkeler arasında Gürcistan ve Rusya; diğer ülkeler arasında Azerbaycan ve Ukrayna yer alıyor; hedef pazar bağlantıları doğrulanıyor.","info@biancaboya.com.tr","","https://www.biancaboya.com.tr/","https://ekoyapidergisi.org/bianca-boya-2023-te-ihracat-yaptigi-ulke-sayisini-30-a-bayi-sayisini-1500-e-cikarmayi-hedefliyor"
"Alışan Lojistik A.Ş.","Firma","Lojistik ve tedarik zinciri çözümleri","Resmi sitede lojistik çözümleri, telefon ve email bilgisi yer alıyor; Azerbaycan, Gürcistan, Kazakistan, Özbekistan ve Rusya hatları için potansiyel lojistik tedarikçisi olarak eklendi.","info@alisanlogistics.com","+90 216 469 15 15; +90 216 469 1510","https://www.alisanlogistics.com/tr/index.html","https://www.alisanlogistics.com/tr/index.html"
"AZ Makina İthalat ve İhracat Ltd. Şti.","Firma","Makine ithalat/ihracat","Volza kaynağında Türkiye ihracatçısı olarak listeleniyor; resmi iletişim sayfasında email/telefon bilgisi yer alıyor; Azerbaycan ve Orta Asya makine hedef pazarları için aday firma.","info@azmakina.com.tr","+90 232 259 09 95","https://www.azmakina.com.tr/contact.html","https://www.azmakina.com.tr/contact.html; https://www.volza.com/company-profile/a-z-makina-ithalat-ve-ihracat-ltd-sirketi-98090728/"
"Emre Metal San. ve Tic. Ltd. Şti.","Firma","Metal sanayi ve imalat","Turkish Industry Rusya odaklı B2B platformunda firma kaydı ve kaynakta email/telefon bilgisi yer alıyor; Rusya bağlantısı platform kapsamında doğrulanıyor.","info@emremetal.com.tr","+90 372 323 58 18","https://turkish-industry.com/firma/Emre-Metal-Sanve-TicLtdSti/8634","https://turkish-industry.com/firma/Emre-Metal-Sanve-TicLtdSti/8634"
