firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
İLGİ Tarım Makinaları,Firma,Tarım makineleri,Özbekistan'a ihracat yaptığı resmi ihracatçı listesinde açıkça belirtiliyor,info@ilgitarim.com,+90 256 554 6700,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Altınöz Tarım Makinaları,Firma,Tarım makineleri,Özbekistan'a ihracat yaptığı resmi ihracatçı listesinde açıkça belirtiliyor,info@altinozltd.com,+90 256 518 1491,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Desen Dış Ticaret,Firma,Tarım makineleri,Özbekistan'a ihracat yaptığı resmi ihracatçı listesinde açıkça belirtiliyor,info@ilgitarim.com,+90 256 554 6700,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Çekiçkesen Tarım Alet ve Makinaları,Firma,Tarım makineleri,Azerbaycan'a ihracat yaptığı resmi ihracatçı listesinde belirtiliyor,cekickesen@cekiskesen.com.tr,+90 256 513 2365,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Ege Sebat Tarım Makinaları,Firma,Tarım makineleri,Azerbaycan'a ihracat yaptığı resmi ihracatçı listesinde belirtiliyor,cekickesen@cekiskesen.com.tr,+90 256 513 2365,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Kazım Uyar Uyar Torna,Firma,Sanayi makineleri,Rusya'ya ihracat yaptığı resmi ihracatçı listesinde belirtiliyor,kazimuyar14@hotmail.com,+90 256 518 0374,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Karaoğlu Ziraat Aletleri,Firma,Tarım makineleri,Özbekistan'a ihracat yaptığı resmi ihracatçı listesinde belirtiliyor,info@karaogluziraat.com,+90 256 518 1241,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Tekmen Tekstil,Firma,Tarım makineleri ve tekstil,Özbekistan ve Türk Cumhuriyetleri'ne ihracat yaptığı resmi listede belirtiliyor,tekmen@tekmentekstil.com.tr,+90 256 518 7070,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Nergistepe Tarım Makinaları,Firma,Tarım makineleri,Özbekistan'a ihracat yaptığı resmi ihracatçı listesinde belirtiliyor,tülin@nergistepe.com.tr,+90 256 521 1238,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
Söke Traktör ve Ekipmanları,Firma,Traktör yedek parça,Azerbaycan'a ihracat yaptığı resmi ihracatçı listesinde belirtiliyor,soketraktor@jdbayi.com,+90 256 557 4395,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
A.S. Yaşa Gıda,Firma,Taze meyve ve sebze,Rusya Federasyonu resmi bitki sağlığı ihracatçı listesinde yer alıyor,,,,https://dkib.org.tr/tr/md-File-Download.htm?path=%2Ffiles%2Fdownloads%2Fpagefiles%2F%7Be96ccca8-a318-43e2-8d04-22a785068b59%7D%2Ffiles%2FEK1-%20Eylul%202016%20YMS.pdf
A.Y.M. Lojistik,Firma,Lojistik ve taze ürünler,Rusya Federasyonu resmi bitki sağlığı ihracatçı listesinde yer alıyor,,,,https://dkib.org.tr/tr/md-File-Download.htm?path=%2Ffiles%2Fdownloads%2Fpagefiles%2F%7Be96ccca8-a318-43e2-8d04-22a785068b59%7D%2Ffiles%2FEK1-%20Eylul%202016%20YMS.pdf
ACR Yaş Sebze Meyve,Firma,Taze meyve ve sebze,Rusya Federasyonu resmi bitki sağlığı ihracatçı listesinde yer alıyor,,,,https://dkib.org.tr/tr/md-File-Download.htm?path=%2Ffiles%2Fdownloads%2Fpagefiles%2F%7Be96ccca8-a318-43e2-8d04-22a785068b59%7D%2Ffiles%2FEK1-%20Eylul%202016%20YMS.pdf
Ada Tarım,Firma,Taze meyve ve sebze,Rusya Federasyonu resmi bitki sağlığı ihracatçı listesinde yer alıyor,,,,https://dkib.org.tr/tr/md-File-Download.htm?path=%2Ffiles%2Fdownloads%2Fpagefiles%2F%7Be96ccca8-a318-43e2-8d04-22a785068b59%7D%2Ffiles%2FEK1-%20Eylul%202016%20YMS.pdf
Adiloğulları Sebze ve Meyve,Firma,Taze meyve ve sebze,Rusya Federasyonu resmi bitki sağlığı ihracatçı listesinde yer alıyor,,,,https://dkib.org.tr/tr/md-File-Download.htm?path=%2Ffiles%2Fdownloads%2Fpagefiles%2F%7Be96ccca8-a318-43e2-8d04-22a785068b59%7D%2Ffiles%2FEK1-%20Eylul%202016%20YMS.pdf
ADZ Yaş Meyve Sebze,Firma,Taze meyve ve sebze,Rusya Federasyonu resmi bitki sağlığı ihracatçı listesinde yer alıyor,,,,https://dkib.org.tr/tr/md-File-Download.htm?path=%2Ffiles%2Fdownloads%2Fpagefiles%2F%7Be96ccca8-a318-43e2-8d04-22a785068b59%7D%2Ffiles%2FEK1-%20Eylul%202016%20YMS.pdf
AEP Anadolu Etap Penkon,Firma,Taze meyve ve sebze,Rusya Federasyonu resmi bitki sağlığı ihracatçı listesinde yer alıyor,,,,https://dkib.org.tr/tr/md-File-Download.htm?path=%2Ffiles%2Fdownloads%2Fpagefiles%2F%7Be96ccca8-a318-43e2-8d04-22a785068b59%7D%2Ffiles%2FEK1-%20Eylul%202016%20YMS.pdf
Agrikey Tarımsal Yatırımlar,Firma,Taze meyve ve sebze,Rusya Federasyonu resmi bitki sağlığı ihracatçı listesinde yer alıyor,,,,https://dkib.org.tr/tr/md-File-Download.htm?path=%2Ffiles%2Fdownloads%2Fpagefiles%2F%7Be96ccca8-a318-43e2-8d04-22a785068b59%7D%2Ffiles%2FEK1-%20Eylul%202016%20YMS.pdf
