firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Hamlem Mechanics / Hamlem Mekanik Plastik Makina","Üretici/İhracatçı","Elektrofüzyon kaynak makineleri, HDPE/plastik boru ekipmanları","TİM Azerbaijan Baku 2026 delegasyon katılımcısı; Türkiye/Ankara üretimi elektrofüzyon kaynak makineleri, altyapı ve sulama sistemleri için bölgesel ihracat potansiyeli","info@hamlem.com; sales@hamlem.com; service@hamlem.com","+90 312 380 68 00; +90 532 420 50 06","https://www.hamlem.com/","https://delegations.tim.org.tr/event/azerbaijan-baku-2026/company/hamlem-mechanics-1; https://www.hamlem.com/en/contact"
"Sağlamlar Plywood / Sağlamlar Orman Tarım Ürünleri Ticaret ve Sanayi A.Ş.","Üretici/İhracatçı","Plywood, kontrplak, ahşap yapı malzemeleri","TİM Azerbaijan Baku 2026 delegasyon katılımcısı; Türkiye'de global inşaat ve endüstriyel ihtiyaçlara yönelik plywood üretici-ihracatçısı","factory@saglamlar.com.tr; pazarlama@saglamlar.com.tr; bozuyuk@saglamlar.com.tr","0 228 355 00 22; 0 543 113 10 98","https://www.saglamlar.com.tr/","https://delegations.tim.org.tr/event/azerbaijan-baku-2026/company/saglamlar-plywood; https://www.saglamlar.com.tr/contact/; https://orsiad.com.tr/saglamlar-orman-tarim-urunleri-san-ve-tic-a-s.html"
"Battallar Demir San. Tic. Ltd. Şti.","Üretici/Tedarikçi/İhracatçı","Çelik servis merkezi, sac, levha, metal ürünleri","TİM Azerbaijan Baku 2026 delegasyon katılımcısı; Türkiye/Kocaeli merkezli çelik servis merkezi ve metal tedarikçisi","info@battallar.com.tr; muhasebe@battallar.com.tr","+90 262 658 14 67","https://www.battallar.com.tr/tr","https://delegations.tim.org.tr/event/azerbaijan-baku-2026/company/battallar-demir-4; https://battallar.com.tr/en/iletisim; https://www.pesiad.org.tr/firmalar/battallar-demir-san-tic-ltd-sti"
"Erna-Mas Makina Ticaret ve Sanayi A.Ş.","Üretici/İhracatçı","Küçük ev aletleri, elektrikli mutfak ve ev ürünleri","TİM Uzbekistan Tashkent 2026 delegasyon katılımcısı; Türkiye/İstanbul merkezli küçük ev aletleri üreticisi, uluslararası tedarik platformlarında görünür","info@ernamas.com","+90 212 866 22 00","https://ernamas.com/","https://delegations.tim.org.tr/event/uzbekistan-tashkent-2026/company/erna-mas-1; https://ernamas.com/en/contact; https://turkishkitchenware365.com/en/company/erna-mas-makina-tic-ve-san-a-s/5eff151e002cdf1958353336"
"TKEY Global Energy / TKey Global Teknoloji ve Enerji","Hizmet/Proje/İhracatçı","Enerji sistemleri, elektrik kurulum, devreye alma, test ve bakım","TİM Uzbekistan Tashkent 2026 delegasyon katılımcısı; petrol-gaz, petrokimya, enerji santralleri, yenilenebilir enerji ve maden tesisleri için teknik hizmet","info@tkeyglobal.com","444 86 73","https://tkeyglobal.com/en","https://delegations.tim.org.tr/event/uzbekistan-tashkent-2026/company/tkey-global-energy; https://tkeyglobal.com/en; https://tkeyglobal.com/en/contact"
"Telsaş Tel ve Tel Mamülleri San. ve Tic. Ltd. Şti.","Üretici/İhracatçı","Tel ve tel mamulleri, galvanizli/paslanmaz/kaynak teli","TİM Kazakhstan-Kyrgyzstan 2024 delegasyon katılımcısı; Avrupa, Orta Doğu, Afrika ve Asya'da 40+ ülkeye ihracat beyanı","telsas@telsas.com","+90 212 625 63 37; +90 530 445 67 44; +90 530 555 38 99","http://www.telsas.com","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/telsas; https://www.telsas.com/contacttr.html; https://telsas.com/products.html"
"Doğal Kimya / Doğal Kimyevi Maddeler ve Zirai İlaçlar San. ve Tic. A.Ş.","Üretici/İhracatçı","Pestisit, agrochemical, gübre ve bitki koruma ürünleri","TİM Kazakhstan-Kyrgyzstan 2024 delegasyon katılımcısı; Türkiye sermayeli zirai ilaç ve agrochemical üretici-ihracatçısı","info@dogalagro.com","+90 530 497 78 76","https://dogalagro.com/","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/dogal-kimya; https://dogalagro.com/contact; https://dogalagro.com/"
"Espomak Makine Sanayi ve Tic. Ltd. Şti.","Üretici/İhracatçı","Meyve-sebze sınıflandırma, ayırma ve paketleme makineleri","TİM Kazakhstan-Kyrgyzstan 2024 ve Uzbekistan Tashkent 2025 delegasyon katılımcısı; tarım ürünleri için çap, renk, ağırlık, dış/iç kalite kriterlerine göre sınıflandırma makineleri","erkan@espomak.com; esunaoglu@gmail.com","+90 533 545 55 08; +90 541 214 49 69","https://www.espomak.com/","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/espomak-1; https://delegations.tim.org.tr/event/uzbekistan-tashkent-2025/company/espomak-2; https://www.espomak.com/; https://www.espoturk.com/index.php?id_lang=1"
"Haver Farma İlaç A.Ş.","Üretici/İhracatçı","İlaç, takviye edici gıda, hastane ürünleri","TİM Kazakhstan-Kyrgyzstan 2024 delegasyon katılımcısı; Türkiye'de ilaç ve tüketici sağlığı ürünleri üretimi, global pazarlarda tercih edilen firma hedefi","info@haver.com.tr; infotrakya@haver.com.tr","+90 216 324 38 38; +90 282 655 55 05","https://www.haver.com.tr/","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/haver-farma-4; https://www.haver.com.tr/en/contact; https://www.haver.com.tr/en/about-us"
"Cotton Biyoteknoloji ve Kozmetik Ltd. Şti. / CottREC-CottCOS","Üretici/İhracatçı","Geri dönüştürülmüş plastik hammadde, ambalaj, kozmetik ve kişisel bakım","Ask Türkiye kaydında CottREC geri dönüştürülmüş plastik/ambalaj, CottCOS toptan kozmetik ve ihracat/B2B faaliyetleri belirtiliyor","bpa@mrpolymers.com; sales@cottcos.com","+90 532 683 86 01","http://mrpolymers.com","https://askturkiye.com/company/cotton-biyoteknoloji-ve-kozmetik-limited-sirketi"
