firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
İlgi Tarım Makinaları Sanayi ve Ticaret,Firma,Tarım makinaları üretimi ve ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@ilgitarim.com,+90 256 554 67 00,https://www.ilgitarim.com,https://www.ilgitarim.com/tr/iletisim
Altınöz Tarım Makinaları,Firma,Tarım makinaları üretimi ve ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,export@altinozltd.com,+90 256 518 14 91,https://altinozltd.com,https://altinozltd.com/iletisim/
Çekiçkesen Tarım Alet ve Makinaları,Firma,Tarım aletleri ve makinaları üretimi,Rusya listesi ve resmi firma sitesi eşleşmesi,cekickesen@cekickesen.com.tr,+90 256 513 23 65-66 67,https://www.cekickesen.com.tr,https://www.cekickesen.com.tr/iletisim.html
Nergistepe Tarım Makinaları,Firma,Tarım makinaları üretimi ve ihracatı,Özbekistan ihracatçı kaydı ve resmi alan adı eşleşmesi,tulin@nergistepe.com.tr,+90 256 521 12 38,https://nergistepe.com,https://www.sto.org.tr/Portals/15/dis%20ticaret/EXPORTER_MEMBERS_102019.pdf
Söke Traktör ve Ekipmanları,Firma,Traktör ve tarım ekipmanları,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@soketraktor.com,+90 256 557 43 95,https://www.soketraktor.com,https://www.soketraktor.com/i-leti-%C5%9Fi-m
Naturex Dış Ticaret,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve ihracatçı birliği kaydı eşleşmesi,naturexgida@gmail.com,,https://www.naturexgida.com,https://www.gaib.org.tr/tr/site/download-file/6561.html?class=AnnouncementFiles
Talya Fresh Tarım,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve ihracatçı birliği kaydı eşleşmesi,talyafreshtarim@gmail.com,,https://www.talyafresh.com,https://www.gaib.org.tr/tr/site/download-file/6561.html?class=AnnouncementFiles
BŞF Açıkyürek Tarım Ürünleri,Firma,Taze meyve-sebze komisyonculuğu ve ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,info@bsfacikyurektarim.com.tr,+90 532 243 85 04,https://bsfacikyurektarim.com.tr,https://bsfacikyurektarim.com.tr/
Akdeniz Birlik Tarım,Firma,Taze meyve-sebze ihracatı ve paketleme,Rusya listesi ve firma iletişim eşleşmesi,info@akdenizbirliktarim.com,+90 242 871 22 77,https://akdenizbirliktarim.com.tr,https://www.facebook.com/samikisaoglu/?locale=tr_TR
Erbeyler Tarım Lojistik Gıda,Firma,Tarım, lojistik ve gümrük hizmetleri,Rusya listesi ve resmi firma sitesi eşleşmesi,info@erbeyler.com,+90 532 333 35 06,https://erbeyler.com,https://erbeyler.com/
GRD Group Dış Ticaret,Firma,Taze meyve-sebze dış ticareti,Rusya listesi ve Ukrayna ihracatçı kaydı eşleşmesi,info@grdexport.com,,https://grdexport.com,https://dkib.org.tr/files/downloads/IlgiliTarafListesi-UKR.pdf
Semirs Gıda Tarım Dış Ticaret,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@semirsgida.com,+90 532 341 80 35,https://www.semirsgida.com,https://www.semirsgida.com/iletisim
Soy Export Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,info@soyexport.com.tr,+90 533 940 74 64,https://soyexport.com.tr,https://soyexport.com.tr/gizlilik-politikasi/
