firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Entat Gıda San. ve Tic. A.Ş.","Firma","Gıda","Turkish Industry platformunda listelenen Türk gıda firması; platform Türk sanayisini Rusya pazarına tanıtma amacı taşıyor.","sayinlar@entat.com","","https://turkish-industry.com/firma-iletisim/Entat-Gida-San-ve-Tic-AS/4115","https://turkish-industry.com/firma-iletisim/Entat-Gida-San-ve-Tic-AS/4115"
"Hisar Tekstil Paz. ve Tic. A.Ş.","Firma","Tekstil","Turkish Industry platformunda listelenen Türk tekstil firması; Rusya pazarına yönelik B2B kaynak.","hisar@hisartekstil.com.tr","+90 212 548 23 28","https://turkish-industry.com/firma-iletisim/Hisar-Tekstil-Paz-ve-Tic-AS/1531","https://turkish-industry.com/firma-iletisim/Hisar-Tekstil-Paz-ve-Tic-AS/1531"
"Teksas Tekstil San. ve Tic. Ltd. Şti.","Firma","Tekstil","Turkish Industry platformunda yer alan Türk tekstil firması; Rusya pazarına yönelik B2B aday.","info@teksastekstil.com.tr","+90 212 640 10 75","https://turkish-industry.com/firma-iletisim/Teksas-Tekstil-San-ve-Tic-Ltd-Sti/5911","https://turkish-industry.com/firma-iletisim/Teksas-Tekstil-San-ve-Tic-Ltd-Sti/5911"
"Bilsar Tekstil San. ve Dış Tic. A.Ş.","Firma","Tekstil ve dış ticaret","Turkish Industry platformunda listelenen Türk tekstil/dış ticaret firması; Rusya pazarı için aday.","info@bilsar.com","+90 212 245 90 00","https://turkish-industry.com/firma-iletisim/Bilsar-Tekstil-San-ve-Dis-Tic-AS/8950","https://turkish-industry.com/firma-iletisim/Bilsar-Tekstil-San-ve-Dis-Tic-AS/8950"
"Çak Tekstil San. Tic. Ltd. Şti.","Firma","Tekstil","Turkish Industry platformunda listelenen Türk tekstil firması; Rusya pazarı için B2B aday.","info@caktekstil.com.tr","+90 212 410 04 10","https://turkish-industry.com/firma-iletisim/Cak-Tekstil-San-Tic-Ltd-Sti/4837","https://turkish-industry.com/firma-iletisim/Cak-Tekstil-San-Tic-Ltd-Sti/4837"
"Aksa Akrilik Kimya Sanayi A.Ş.","Firma","Akrilik elyaf, kimya ve tekstil hammaddesi","Turkish Industry platformunda listelenen Türk kimya/tekstil sanayi firması; Rusya pazarına yönelik B2B görünürlük.","aksa@aksa.com","+90 212 251 45 00","https://turkish-industry.com/firma-iletisim/Aksa-Akrilik-Kimya-Sanayi-AS/4939","https://turkish-industry.com/firma-iletisim/Aksa-Akrilik-Kimya-Sanayi-AS/4939"
"Servis Kimya Sanayi ve Tic. Ltd. Şti.","Firma","Kimya","Turkish Industry platformunda listelenen Türk kimya firması; Rusya pazarına yönelik sanayi platformu kaydı.","info@serviskimya.com","+90 212 671 53 04","https://turkish-industry.com/firma-iletisim/Servis-Kimya-Sanayi-ve-Tic-Ltd-Sti/5782","https://turkish-industry.com/firma-iletisim/Servis-Kimya-Sanayi-ve-Tic-Ltd-Sti/5782"
"Korozo Ambalaj San. ve Tic. A.Ş.","Firma","Ambalaj ve plastik","Turkish Industry platformunda listelenen Türk ambalaj/plastik firması; Rusya pazarı için aday tedarikçi.","info@korozo.com.tr","+90 212 886 68 00","https://turkish-industry.com/firma-iletisim/Korozo-Ambalaj-San-ve-Tic-AS/4867","https://turkish-industry.com/firma-iletisim/Korozo-Ambalaj-San-ve-Tic-AS/4867"
"Naksan Plastik San. Tic. A.Ş.","Firma","Plastik ve ambalaj","Turkish Industry platformunda listelenen Türk plastik firması; Rusya pazarına yönelik B2B sanayi kaydı.","info@naksan.com","+90 342 211 21 21","https://turkish-industry.com/firma-iletisim/Naksan-Plastik-San-Tic-AS/4574","https://turkish-industry.com/firma-iletisim/Naksan-Plastik-San-Tic-AS/4574"
"Hatboru Çelik Boru San. ve Tic. Ltd. Şti.","Firma","Çelik boru ve yapı malzemeleri","Turkish Industry platformunda listelenen Türk çelik boru/yapı sanayi firması; Rusya pazarı için aday.","hatboru@hatboru.com","+90 326 285 52 41","https://turkish-industry.com/firma-iletisim/Hatboru-Celik-Boru-San-ve-Tic-Ltd-Sti/3554","https://turkish-industry.com/firma-iletisim/Hatboru-Celik-Boru-San-ve-Tic-Ltd-Sti/3554"
