firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"SCK Zeta Kimya Temizlik ve Kozmetik Ürünleri San. ve Tic. Ltd. Şti.","Üretici/İhracatçı","Kozmetik, temizlik ve hijyen ürünleri","Türkiye/İstanbul merkezli üretici ve tedarikçi; işini uluslararası pazarlara genişletip 4 kıtaya ulaşma beyanı","info@sckzetakimya.com","+90 537 366 68 84","http://www.sckzetakimya.com","https://www.askturkiye.com/company/sckzeta-kimya-temizlik-ve-kozmetik-urunleri-san-ve-tic-ltdsti"
"Meridyen Gıda San. İth. İhr. ve Dahili Tic. Ltd. Şti. / Birolive","Üretici/İhracatçı","Zeytin, zeytinyağı ve gıda","Türkiye merkezli zeytin ve zeytinyağı üreticisi; Ask Türkiye Turkish Olive and Olive Oil Products kaydı","info@birolive.com","","http://birolive.com","https://test.askturkiye.com/company/meridyen-gida-san-ithihrve-dahili-ticltdsti"
"Solmazer Ev Gereçleri Sanayi A.Ş. / Herevin","Üretici/İhracatçı","Cam ve plastik ev gereçleri, mutfak ürünleri","Türkiye merkezli cam/plastik sektöründe Herevin markası; ihracatı kolaylaştırmak için fuar ve iş seyahatleri beyanı","export@solmazer.com","+90 533 558 40 84","https://www.solmazer.com/","https://askturkiye.com/company/solmazer-ev-gerecleri-sanayi-anonim-sirketi"
"Solmazer Dış Ticaret ve Makina San. Ltd. Şti.","Dış ticaret/İhracatçı","Mutfak eşyaları, sofra ürünleri, cam-seramik","Türkiye merkezli mutfak ve sofra ürünleri ihracatçısı; 120 ülkeye ihracat beyanı","export@solmazer.com","+90 538 363 75 18","http://solmazer.com","https://askturkiye.com/company/solmazer-dis-ticaret-ve-makina-san-ltdsti?id=21401"
"Usta Gıda Sanayi ve Ticaret A.Ş.","Üretici/İhracatçı","Kuru meyve, kuru kayısı, kuru incir","Türkiye/Malatya kökenli kuru meyve üretici ve ihracatçısı; 1985'ten beri ihracat beyanı","miray@ustafood.com","+90 533 480 61 06","http://www.ustafood.com","https://askturkiye.com/company/usta-gida-sanayi-ve-ticaret-as"
"Kozlu Flour Mills","Üretici/İhracatçı","Buğday unu, hububat ürünleri","Türkiye/Amasya merkezli büyük ölçekli un üreticisi; 2000 mt/gün kapasite ve ihracatçı kaydı","export@kozlu.com.tr","+90 549 418 10 00","http://www.kozlu.com.tr","https://askturkiye.com/company/kozlu-flour-mills"
"Yörükoğlu Süt ve Ürünleri San. Tic. A.Ş.","Üretici/İhracatçı","Süt ve süt ürünleri","Türkiye/Antalya merkezli büyük ölçekli süt ürünleri üreticisi; ISO, BRC, HALAL belgeli üretim ve ihracatçı kaydı","export@yorukoglusut.com.tr","+90 242 258 11 35","http://www.yorukoglusut.com.tr","https://askturkiye.com/company/yorukoglu-sut-ve-ursanticas"
"Hazar Lojistik","Lojistik hizmet sağlayıcı","Uluslararası kara ve denizyolu taşımacılığı, BDT ve Asya hatları","Türkiye/İstanbul-Mersin-İzmir-Konya ofisli lojistik şirketi; Gürcistan, BDT ve Asya hatlarında hizmet","info@hazarlojistik.com","+90 212 590 53 33; +90 507 202 92 92; +90 324 238 53 83","https://www.hazarlojistik.com/","https://www.hazarlojistik.com/gurcistan-nakliye/"
"Azerbaycan Taşımacılık","Lojistik hizmet sağlayıcı","Azerbaycan karayolu taşımacılığı, Kafkasya ve Orta Koridor","Türkiye-Azerbaycan ticaret koridorunda Bakü, Gence, Sumgayıt ve tüm Azerbaycan bölgelerine kapıdan kapıya taşıma beyanı","info@azerbaycantasimacilik.com","","http://azerbaycantasimacilik.com/","http://azerbaycantasimacilik.com/"
"Gürcistan Lojistik","Lojistik hizmet sağlayıcı","Gürcistan lojistik ve uluslararası taşımacılık","Türkiye-Gürcistan hattında uluslararası taşıma; Kafkasya pazar bağlantısı ve lojistik operasyon hizmetleri","info@gurcistanlojistik.com","+90 531 962 68 98; +90 466 351 66 01","https://www.gurcistanlojistik.com/","https://www.gurcistanlojistik.com/gurcistan-lojistik"
