firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Logitrans Lojistik A.Ş.","Firma","Lojistik / uluslararası taşımacılık","Rusya Moskova, Kazakistan Almatı, Ukrayna Odessa, Özbekistan Taşkent, Azerbaycan Bakü ofisleri; UND kaydı ve resmi iletişim sayfası","contact@logitransport.com","+90 216 660 17 70; +90 544 481 07 18","https://logitransport.com/","https://www.und.org.tr/firma-bilgileri/1110; https://logitransport.com/iletisim"
"Nazlı Lojistik Servisleri Ltd. Şti.","Firma","Lojistik / karayolu taşımacılığı","Kazakistan Pavlodar ve Gürcistan Batum şubeleri; UND kaydı ve resmi iletişim sayfası","info@nazlilojistik.com; nnazli@nazlilojistik.com; sguven@nazlilojistik.com","+90 216 577 41 23; +90 216 577 41 27","https://www.nazlilojistik.com/","https://www.und.org.tr/firma-bilgileri/1240; https://www.nazlilojistik.com/iletisim; https://www.nazlilojistik.com/sayfa/kadromuz"
"Başkent Fiat Uluslararası Nakliyat Turizm Sanayi ve Ticaret Ltd. Şti.","Firma","Lojistik / uluslararası nakliyat","Rusya Nizhny Novgorod, Alabuga, Maikop; Gürcistan Batum; Kırgızistan Oş şube bağlantıları; UND kaydı","info@bf.com.tr","+90 312 812 12 20","https://www.bf.com.tr/","https://www.und.org.tr/firma-bilgileri/433; http://bf.com.tr/index.php/en/urunler-4; http://www.bf.com.tr/index.php/en/iletisim-3"
"2K Hedef Uluslararası Nakliyat ve Paz. Tic. Ltd. Şti.","Firma","Lojistik / uluslararası nakliye","Azerbaycan Bakü ve Gürcistan Tiflis ofisleri; Azerbaycan ve Gürcistan karayolu taşımacılığı","info@2khedef.com.tr","+90 216 510 46 60; +994 512 80 48 98","https://2khedef.com/","https://www.und.org.tr/firma-bilgileri/2308; https://2khedef.com/iletisim/"
"Yılnak Proje ve Ağır Taşıma Servisi A.Ş.","Firma","Proje lojistiği / ağır taşıma","Gürcistan Tiflis ofisi; Özbekistan proje haberi; proje ve ağır taşıma servisleri","yilnak@yilnak.com.tr; georgia@yilnak.com.tr","444 4 956; +995 599 133 177","https://yilnak.com.tr/","https://www.und.org.tr/firma-bilgileri/1757; https://yilnak.com.tr/iletisim/; https://yilnak.com.tr/haberler-2/"
"Almark Group Logistics","Firma","Lojistik / komple ve parsiyel taşımacılık","Kazakistan lojistik çözümleri; Ukrayna, Belarus, CIS ülkeleri, Baltık ve Avrupa hatları","info@almark.com.tr","+90 850 888 97 99","https://almark.com.tr/","https://almark.com.tr/guzergah/kazakistan; https://almark.com.tr/hakkimizda"
"Karaman Lojistik","Firma","Lojistik / uluslararası nakliye","Türkiye-Gürcistan, Türkiye-Azerbaycan, Türkiye-Kazakistan rotaları; Çorum merkezli lojistik","info@karamanlojistik.com.tr","+90 364 213 42 13; +90 542 474 51 77","https://www.karamanlojistik.com.tr/","https://www.karamanlojistik.com.tr/; https://www.karamanlojistik.com.tr/rotalarimiz/"
"Logista Global Lojistik Ltd. Şti.","Firma","Lojistik / tedarik zinciri ve taşımacılık","Kazakistan ve Özbekistan nakliye hizmetleri; %100 Türk sermayeli lojistik firması","info@logistaglobal.com; germany@logzee.com","+90 216 784 76 76","https://logistaglobal.com/","https://logistaglobal.com/; https://logistaglobal.com/iletisim"
"Altınsoy Madencilik ve Ticaret A.Ş.","Firma","Doğal taş / mermer madenciliği","Ask Türkiye kaydı; Bursa merkezli mermer üreticisi, çok sayıda ülkeye blok, plaka ve karo ihracatı","export@altinsoy.com.tr","+90 530 524 39 96","https://www.altinsoy.com.tr","https://www.askturkiye.com/company/altinsoy-madencilik-ve-ticaret-as"
"Gabhome Ltd","Firma","Ev gereçleri / züccaciye / mutfak ürünleri","Ask Türkiye kaydı; çelik, cam, porselen, opal, alüminyum, emaye ve ahşap ürünlerle dış ticaret","info@gabhome.com.tr; export@gabhome.com.tr","+90 342 225 11 11; +90 501 244 10 00; +90 533 954 33 33","http://gabhome.com.tr","https://askturkiye.com/company/gabhome-ltd"
