firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Transmot Lojistik","Firma","Uluslararası lojistik ve karayolu taşımacılığı","Resmi ofis sayfası Türkiye merkezinin yanında Kazakistan Almatı Kırgızistan Bişkek ve Rusya Moskova ofislerini belirtiyor","info@transmot.com.tr","+90 216 572 94 26; +7 708 970 12 20; +996 700 188 344; +7 925 291 66 93","https://transmot.com.tr","https://transmot.com.tr/en/our-offices"
"Arlan Lojistik","Firma","Türkiye-Kazakistan ve Türkiye-Özbekistan lojistiği","Resmi şirket sitesi İstanbul merkezli firmanın Kazakistan ve Özbekistan taşımacılığı gümrükleme ve depolama hizmetlerini belirtiyor","info@arlan.com.tr","+90 212 830 77 10; +90 507 987 00 00","https://arlan.com.tr","https://arlan.com.tr/en; https://arlan.com.tr/en/hizmetlerimiz/turkiye-kazakhstan-transportation; https://arlan.com.tr/en/hizmetlerimiz/uzbekistan-customs-and-warehousing-service"
"Alarko Holding / Alarko Taahhüt Grubu","Firma","İnşaat tarım enerji ve altyapı","Resmi şirket kaynakları Kazakistanda Alsera sera yatırımını ve BAKAD otoyolunu; Rusya Türkmenistan Özbekistan ve Kazakistanda tarihsel CIS faaliyetlerini belirtiyor","info@alarko.com.tr; alarkoinvestorrelations@alarko.com.tr","+90 212 310 33 00","https://www.alarko.com.tr","https://www.alarko.com.tr/en/about-us/our-history; https://www.alarko.com.tr/en/projects/construction-operation-of-bakad-big-almaty-ring-road; https://www.alarko.com.tr/en/press/news/alarko-expands-agricultural-reach-with-major-greenhouse-investment-in-kazakhstan"
"Önder Shipping & Logistics Co.","Firma","Deniz kara ve proje lojistiği","Resmi şirket sitesi Türkiye bağlantılı lojistik firmasının Özbekistan ve Rusya taşımacılığı yaptığını belirtiyor","pricing@onderlogistics.com","+90 555 090 21 80","https://onderlogistics.com","https://onderlogistics.com/; https://www.onderlogistics.com/GetDynamic?guid=e5b1f2834fdd60d8&pageId=183068&tempId=0"
"Kayra Uluslararası Nakliyat ve Dış Ticaret","Firma","Karayolu proje ve ağır yük taşımacılığı","Resmi şirket sayfası Belarus Rusya Ukrayna Kazakistan Azerbaycan ve Türkmenistan dahil çok sayıda hatta hizmet verdiğini ve Kazakistan iştirakini belirtiyor","kayra@kayralojistik.com","+90 216 573 12 01; +7 727 311 08 14; +993 65 959 821","https://www.kayralojistik.com.tr","https://www.kayralojistik.com.tr/kayra.php?id=5; http://kayralojistik.com.tr/hizmetlerimiz.php?id=3; https://www.kayralojistik.com.tr/kayra.php?id=6"
"Öznak Group International Transport","Firma","Uluslararası lojistik ve taşımacılık","Resmi şirket sitesi Özbekistan ve Kazakistan taşımalarında Rusya üzeri rotaları kullandığını belirtiyor","info@oznakgroup.com.tr","+90 544 645 48 74","https://oznakgroup.com.tr","https://oznakgroup.com.tr/index.php/ozbekistan-nakliye; https://oznakgroup.com.tr/index.php/kazakistan-nakliye"
"Saygınlar Transport","Firma","Uluslararası lojistik ve nakliye","Resmi Kazakistan sayfası şirketin Özbekistan Kazakistan Azerbaycan ve Türkmenistan hatlarında hizmet verdiğini belirtiyor","info@sayginlarnakliyat.com","+90 326 225 26 88","https://www.sayginlartransport.com.tr","https://www.sayginlartransport.com.tr/kazakistan-nakliye"
"TurkPak Construction","Firma","Endüstriyel ve konut inşaatı","Resmi şirket sitesi Türkiye merkezli TurkPakın Türkmenistan dahil yurtdışı inşaat projeleri yaptığını belirtiyor","info@turkpakinsaat.com.tr","+90 212 224 91 95","https://www.turkpakinsaat.com.tr","https://www.turkpakinsaat.com.tr/en-us; https://www.turkpakinsaat.com.tr/detail-turkmenistan-nursery-project; https://www.turkpakinsaat.com.tr/contents/abroad-projects"
"Altınsu İnşaat","Firma","Fabrika ve endüstriyel tesis inşaatı","Resmi proje sayfası Türkmenistan halı fabrikası projesini belirtiyor","info@altinsuinsaat.com.tr","+90 242 502 78 62; +90 538 467 85 35","https://www.altinsuinsaat.com.tr","https://www.altinsuinsaat.com.tr/en/factory-facility-projects/turkmenistan-carpet-factory.html"
"MVG İnşaat","Firma","Altyapı ve mühendislik","Resmi proje sayfası Türkmenbaşı Uluslararası Limanı erişim yolları projesini ve Ankara merkez iletişimini belirtiyor","info@mvginsaat.com.tr","+90 312 870 17 23","https://www.mvginsaat.com.tr","https://www.mvginsaat.com.tr/en/project/construction-of-internal-and-external-close-and-distant-access-roads-for-turkmenbasi-international-seaport"
"Turu Lojistik","Firma","Kara hava deniz ve demiryolu lojistiği","Resmi şirket sitesi Rusya taşımacılığı ve ihracat lojistik süreç yönetimini belirtiyor","info@turulojistik.com.tr","+90 216 680 00 20","https://turulojistik.com.tr","https://turulojistik.com.tr/en/export-and-logistics-process-management-to-russia-turu-logistics/; https://turulojistik.com.tr/en/labeling-processes-in-logistics-operations-to-the-russian-federation/"
