firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
İLGİ TARIM MAKİNALARI SANAYİ ve TİCARET LİMİTED ŞİRKETİ,Firma,Tarım makineleri,Özbekistan ihracatı resmi oda ihracatçı listesinde belirtiliyor,info@ilgitarim.com,(256) 554-6700,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
ALTINÖZ TARIM MAKİNALARI İMALAT İTHALAT İHRACAT OTOMOTİV TURİZM TEKSTİL TARIM VE PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Tarım makineleri,Özbekistan ihracatı resmi oda ihracatçı listesinde belirtiliyor,info@altinozltd.com,(256) 518-1491,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
DESEN DIŞ TİCARET LİMİTED ŞİRKETİ,Firma,Tarım makineleri,Özbekistan ihracatı resmi oda ihracatçı listesinde belirtiliyor,info@ilgitarim.com,(256) 554-6700,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
ÇEKİÇKESEN TARIM ALET VE MAKİNALARI SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Tarım makineleri,Azerbaycan ihracatı resmi oda ihracatçı listesinde belirtiliyor,cekickesen@cekiskesen.com.tr,(256) 513-2365,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
EGE SEBAT TARIM MAKİNALARI SANAYİ TİCARET LTD. ŞTİ.,Firma,Tarım makineleri,Azerbaycan ihracatı resmi oda ihracatçı listesinde belirtiliyor,cekickesen@cekiskesen.com.tr,(256) 513-2365,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
KAZIM UYAR UYAR TORNA,Firma,Makine,Kazakistan ve Rusya ihracatı resmi oda ihracatçı listesinde belirtiliyor,kazimuyar14@hotmail.com,(256) 518-0374,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
KARAOĞLU ZİRAAT ALETLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Firma,Tarım makineleri,Azerbaycan ve Özbekistan ihracatı resmi oda ihracatçı listesinde belirtiliyor,info@karaogluziraat.com,(256) 518-1241,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
TEKMEN TEKSTİL ÇIRÇIR FABRİKALARI MONTAJ VE İMALİ TAAHHÜT SANAYİ TİCARET LTD. ŞTİ.,Firma,Tarım makineleri ve tekstil,"Azerbaycan, Özbekistan ve diğer Türk Cumhuriyetleri ihracatı resmi oda ihracatçı listesinde belirtiliyor",tekmen@tekmentekstil.com.tr,(256) 518-7070,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf
NERGİSTEPE TARIM MAKİNALARI SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Tarım makineleri,Özbekistan ihracatı resmi oda ihracatçı listesinde belirtiliyor,tülin@nergistepe.com.tr,(256) 521-1238,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7ı%20firmalar_102019.pdf
TEOZ GIDA TARIM İNŞAAT TURİZM İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Narenciye,Rusya ve Ukrayna ihracatı resmi oda ihracatçı listesinde belirtiliyor,muratozkanua@gmail.com,(256) 512-4375,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7ı%20firmalar_102019.pdf
