firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Tarımöz Tarım Makineleri","Firma","Tarım makineleri ve akıllı tarım ekipmanları","Resmi sitede Konya üretim/fabrika bilgileri, tarım makineleri üretimi ve iletişim emaili yer alıyor; Kazakistan, Özbekistan ve Kırgızistan tarım mekanizasyonu hedef pazarları için aday firma.","bilgi@tarimoz.com.tr","444 42 92; +90 332 239 00 71; +90 332 239 00 72","https://tarimoz.com.tr/","https://tarimoz.com.tr/"
"Özkan Tarım Makina Sanayi Tic. A.Ş.","Firma","Tarım makineleri ve hasat ekipmanları","Resmi sitede Kayseri merkezli tarım makine üreticisi olarak email/telefon bilgisi yer alıyor; Kazakistan, Özbekistan ve Kırgızistan tarım makineleri hedef pazarları için aday firma.","info@ozkantarim.com.tr","+90 352 625 57 23","https://www.ozkantarim.com.tr/","https://www.ozkantarim.com.tr/"
"Demir Machinery Paketleme ve Tarım Makinaları San. Tic. Ltd. Şti.","Firma","Silaj paketleme, silaj hasat ve çiftlik ekipmanları","List of Company kaynağında dünya genelinde 35+ ülkeye ihracat yaptığı; ihracat ülkeleri arasında Kazakistan ve Özbekistan bulunduğu belirtiliyor.","info@demirmachinery.com","","http://listofcompany.com/tr/firmalar/makineler-c-46/demir-machinery-paketleme-ve-tarim-makinalari-sanayi-ticaret-limited-sirketi-c-8207","http://listofcompany.com/tr/firmalar/makineler-c-46/demir-machinery-paketleme-ve-tarim-makinalari-sanayi-ticaret-limited-sirketi-c-8207"
"Ayka Otomotiv Sanayi ve Ticaret Ltd. Şti. / Ayka Tarım","Firma","Motopomp, çapa makinesi ve ot biçme makineleri","List of Company kaynağında yurtdışı piyasasında İran, Gürcistan, Kafkas ülkeleri ve diğer pazarlarda çalışmalar devam ettiği; email ve dış ticaret sorumlusu telefonu verildiği görülüyor.","info@aykatarim.com.tr","+90 553 200 89 42","http://listofcompany.com/tr/firmalar/tarim-ve-hayvancilik-makineleri-c-18/ayka-otomotiv-sanayi-ve-ticaret-limited-sirketi--c-10111","http://listofcompany.com/tr/firmalar/tarim-ve-hayvancilik-makineleri-c-18/ayka-otomotiv-sanayi-ve-ticaret-limited-sirketi--c-10111"
"Anıl Tarım Makineleri","Firma","Tarım makineleri, helezon, tırmık ve kaldırma ekipmanları","List of Company katalog kaynağında ihracat yapılan ülkeler arasında Kırgızistan yer alıyor; firma emaili, sorumlu email/telefonları ve web adresi veriliyor.","info@aniltarim.com; m.calmaz@aniltarim.com; i.calmaz@aniltarim.com","+90 332 239 16 78; +90 532 583 56 39; +90 532 343 69 90","https://aniltarim.com/","https://listofcompany.com/tr/download-catalog/anil-tarim-makineleri-c-9256"
"Torkon İş Makineleri Hidrolik San. ve Tic. Ltd. Şti.","Firma","Tarım ve hayvancılık makineleri, iş makineleri hidrolik","List of Company kaynağında Konya merkezli tarım/hayvancılık makineleri firması olarak email, telefon ve web bilgisiyle listeleniyor; Orta Asya tarım makineleri hedef pazarları için aday.","usameyavas@hotmail.com","+90 332 248 48 31","http://torkon.com.tr","https://listofcompany.com/tr/firmalar/tarim-ve-hayvancilik-makineleri-c-18/anil-tarim-makineleri-c-9256"
"Ostar Tarım ve Tarım Makinaları İmalat Paz. San. Tic. Ltd. Şti.","Firma","Tarım makineleri ve ekipmanları","List of Company kaynağında Konya merkezli tarım/hayvancılık makineleri firması olarak email/telefon/web bilgisiyle listeleniyor; Kazakistan, Özbekistan ve Kırgızistan hedef pazarları için aday.","info@ostartarim.com.tr","+90 332 239 17 96","https://ostartarim.com.tr","https://listofcompany.com/tr/firmalar/tarim-ve-hayvancilik-makineleri-c-18/anil-tarim-makineleri-c-9256"
"Kılınç Makina Tarım Nakliye San. ve Tic. Ltd. Şti.","Firma","Tarım makineleri ve nakliye","List of Company kaynağında tarım/hayvancılık makineleri firması olarak email/telefon/web bilgisiyle listeleniyor; Orta Asya tarım mekanizasyonu pazarları için aday.","info@kilinctarmak.com","+90 332 355 20 00","https://kilinctarmak.com","https://listofcompany.com/tr/firmalar/tarim-ve-hayvancilik-makineleri-c-18/anil-tarim-makineleri-c-9256"
"Alpler Tarım Makineleri","Firma","Pulluk ve tarım makineleri üretimi/ihracatı","Resmi export sayfasında Orta Doğu, Afrika, Türk Cumhuriyetleri, Asya, Avrupa ve Güney Amerika'ya ihracat; ülke listesinde Azerbaycan, Gürcistan, Kazakistan ve Rusya yer alıyor.","info@alpler.com.tr","","https://www.alpler.com.tr/en/export.aspx","https://www.alpler.com.tr/en/export.aspx"
"Grande Yapı Malzemeleri","Firma","Yapı kimyasalları ve inşaat malzemeleri","Resmi Azerbaycan sitesinde yapı malzemeleri/sistemleri faaliyetleri, Bakü adresi, telefon ve email bilgisi yer alıyor; Azerbaycan bağlantısı doğrulanıyor.","info@grandeaz.com","+994 10 256 07 09","https://www.grandeaz.com/","https://www.grandeaz.com/"
