firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Agar Oto Egzoz Sistemleri","Firma","Otomotiv egzoz sistemleri","Turkish Industry platformunda yer alan Türk sanayi firması; platform Türk sanayisini Rusya pazarına tanıtmak için kurulduğunu belirtiyor.","agaregzoz@agaregzoz.com.tr","+90 212 549 20 88","https://turkish-industry.com/firma/Agar-Oto-Egzoz-Sistemleri/6816","https://turkish-industry.com/firma/Agar-Oto-Egzoz-Sistemleri/6816"
"Karadeniz Energy Group","Firma","Enerji","Turkish Industry platformunda yer alan Türk sanayi firması; platform Türk ihracatçılarını/Rusya pazarını hedefliyor.","info@karadenizenergy.com","+90 212 295 47 37","https://turkish-industry.com/firma/Karadeniz-Energy-Group/2832","https://turkish-industry.com/firma/Karadeniz-Energy-Group/2832"
"Gümüşoğlu Tekstil San. ve Tic. Ltd. Şti.","Firma","Tekstil","Turkish Industry platformunda listelenen Türk tekstil üreticisi; Rusya pazarına yönelik B2B platform kaydı.","info@gumusoglu.net","+90 342 337 97 80","https://turkish-industry.com/firma/Gumusoglu-Tekstil-San-ve-Tic-Ltd-Sti/8944","https://turkish-industry.com/firma/Gumusoglu-Tekstil-San-ve-Tic-Ltd-Sti/8944"
"Ekonet Tekstil ve Ambalaj San. ve Tic. A.Ş.","Firma","Tekstil ve ambalaj","Turkish Industry platformunda listelenen Türk ihracatçı/KOBİ adayı; Rusya pazarına tanıtım amacıyla yer alıyor.","fgulyuva@ekonetbranda.com","+90 342 337 18 41","https://turkish-industry.com/firma/Ekonet-Tekstil-ve-Ambalaj-San-ve-Tic-AS/7403","https://turkish-industry.com/firma/Ekonet-Tekstil-ve-Ambalaj-San-ve-Tic-AS/7403"
"Arıcı Tekstil San. ve Tic. Ltd. Şti.","Firma","Tekstil","Turkish Industry platformunda yer alan Türk tekstil firması; Rusya pazarına yönelik B2B kaynak.","nbb@nbb.com.tr","+90 212 511 57 25","https://turkish-industry.com/firma/Arici-Tekstil-San-ve-Tic-Ltd-Sti/5720","https://turkish-industry.com/firma/Arici-Tekstil-San-ve-Tic-Ltd-Sti/5720"
"Mesta Traverten Mermer A.Ş.","Firma","Doğaltaş ve mermer","Turkish Industry platformunda listelenen Türk mermer/doğaltaş firması; Rusya pazarı için B2B görünürlük kaydı.","sales@mestamarble.com","+90 424 255 11 89","https://turkish-industry.com/firma/Mesta-Traverten-Mermer-AS/676","https://turkish-industry.com/firma/Mesta-Traverten-Mermer-AS/676"
"Pursan Pigment Ürünleri San. A.Ş.","Firma","Pigment ve kimya","Turkish Industry platformunda yer alan Türk sanayi firması; Rusya pazarı için aday tedarikçi.","info@pursan.com","+90 212 530 99 55","https://turkish-industry.com/firma/Pursan-Pigment-Urunleri-San-AS/5820","https://turkish-industry.com/firma/Pursan-Pigment-Urunleri-San-AS/5820"
"Bilgi Makina Ltd. Şti.","Firma","Makine","Turkish Industry iletişim sayfasında listelenen Türk makine firması; platform Rusya pazarına yönelik B2B tanıtım yapıyor.","info@bilgimakina.com","","https://turkish-industry.com/firma-iletisim/Bilgi-Makina-Ltd-Sti/6231","https://turkish-industry.com/firma-iletisim/Bilgi-Makina-Ltd-Sti/6231"
"Retosan Makina San. ve Tic. A.Ş.","Firma","Makine","Turkish Industry iletişim sayfasında listelenen Türk makine firması; Rusya pazarına yönelik sanayi platformunda yer alıyor.","info@retosan.com","","https://turkish-industry.com/firma-iletisim/Retosan-Makina-San-ve-Tic-AS/3211","https://turkish-industry.com/firma-iletisim/Retosan-Makina-San-ve-Tic-AS/3211"
"Akyapak Makina San. ve Tic. A.Ş.","Firma","Makine ve metal işleme","Turkish Industry platformunda listelenen Türk makine üreticisi; Rusya pazarına yönelik B2B sanayi kaydı.","akyapak@akyapak.com.tr","+90 224 482 38 60","https://turkish-industry.com/firma-iletisim/Akyapak-Makina-San-ve-Tic-AS/3169","https://turkish-industry.com/firma-iletisim/Akyapak-Makina-San-ve-Tic-AS/3169"
