firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"BB Derma Kozmetik San. ve Tic. A.Ş.","Firma","Dermo kozmetik, kişisel bakım ve private label üretimi","TİM Uzbekistan Tashkent 2026 ve Azerbaijan Baku 2026 ticaret heyeti katılımcısı; BB Derma Cosmetics üretici/ihracatçı firma olarak skincare, hair care ve parfüm ürünleriyle listeleniyor.","info@bbcosmetics.com.tr","","https://bbcosmetics.com.tr/","https://delegations.tim.org.tr/event/uzbekistan-tashkent-2026/company/sukran-uz-bayraktarlar-1; https://delegations.tim.org.tr/event/azerbaijan-baku-2026"
"İlmor Kimya ve Tekstil San. ve Tic. A.Ş.","Firma","Kimyasal hammaddeler, deterjan/tekstil/kozmetik girdileri","TİM Azerbaijan Baku 2026 ticaret heyeti katılımcısı; firma 40 yılı aşkın deneyimli Türk kimya şirketi olarak deterjan, tekstil ve kozmetik hammaddeleri için listeleniyor.","info@ilmor.com.tr","","https://ilmor.com.tr/","https://delegations.tim.org.tr/event/azerbaijan-baku-2026; https://ilmor.com.tr/"
"Cansa Export","Firma","Gıda ve mutfak ekipmanı ihracatı/dağıtımı","Resmi sitede başta Rusya olmak üzere toptan gıda ve mutfak ekipmanı ihracatı/dağıtımı yaptığı belirtiliyor; Rusya hedef pazar bağlantısı doğrulanıyor.","info@cansaexport.com","","https://www.cansaexport.com/","https://www.cansaexport.com/"
"Lusso Mobilya","Firma","Mobilya ve dekorasyon ihracatı","Resmi içerikte Turkish furniture in Azerbaijan / Azerbaycan'da Türk mobilyası temsil bağlantısı ve firma iletişim emaili yer alıyor; Azerbaycan hedef pazar bağlantısı doğrulanıyor.","info@lussomobilya.com.tr","+90 212 675 20 49; +90 212 675 20 69","https://lussomobilya.com.tr/en/turkish-furniture-azerbaijan/","https://lussomobilya.com.tr/en/turkish-furniture-azerbaijan/"
"Hazan Makina","Firma","Makine üretimi ve ihracatı","Resmi ihracat ülkeleri sayfası bulunan Türk makine üreticisi; Orta Asya/Kafkasya/Rusya pazarları için makine üretici adayı olarak eklendi.","info@hazan.com.tr","","https://www.hazan.com.tr/ihracat-ulkelerimiz","https://www.hazan.com.tr/ihracat-ulkelerimiz"
"Bozkurt Mibzer Makina Sanayi","Firma","Mibzer, tarım makineleri ve zirai ekipman","Polatlı TSO ihracatçı üye listesinde tarım makineleri imalatçısı/ihracatçısı olarak email ve web ile yer alıyor; Kazakistan, Özbekistan ve Kırgızistan tarım makinaları hedef pazarları için aday.","info@bozkurtmibzer.com","+90 312 626 50 56","http://www.bozkurtmibzer.com/tr/","https://pto.org.tr/uploads/files/2023%20YILI%20%C4%B0HRACAT%C3%87I%20%C3%9CYE%20L%C4%B0STES%C4%B0.pdf"
"Esener Tarım Makinaları İmalat San. ve Tic. Ltd. Şti.","Firma","Pulluk, saban, diskaro, kültivatör ve tarım makineleri","Polatlı TSO ihracatçı üye listesinde tarım makineleri imalatçısı/ihracatçısı olarak email ve web ile listeleniyor; Orta Asya tarım mekanizasyonu pazarları için aday.","info@esenermakina.com.tr","+90 312 626 50 31","http://esenermakina.com.tr/","https://pto.org.tr/uploads/files/2023%20YILI%20%C4%B0HRACAT%C3%87I%20%C3%9CYE%20L%C4%B0STES%C4%B0.pdf"
"Proffarm Tarım Sanayi ve Ticaret Ltd. Şti.","Firma","Tarım ve hayvancılık makineleri","List of Company kaynağında Konya merkezli tarım/hayvancılık makineleri firması olarak email ve web ile yer alıyor; Kazakistan, Özbekistan, Kırgızistan tarım makineleri hedef pazarları için aday.","info@proffarm.com","","https://proffarm.com/","https://listofcompany.com/tr/firmalar/tarim-ve-hayvancilik-makineleri-c-18/anil-tarim-makineleri-c-9256"
"Özkar Tarım Makinaları Metal İnşaat San. ve Tic. Ltd. Şti.","Firma","Tarım makineleri ve metal ekipman","List of Company kaynağında Konya merkezli tarım/hayvancılık makineleri firması olarak email ve web ile listeleniyor; Orta Asya tarım makineleri hedef pazarları için aday.","muhasebe@ozkartarim.com","+90 332 251 03 55","https://ozkartarim.com/","https://listofcompany.com/tr/firmalar/tarim-ve-hayvancilik-makineleri-c-18/anil-tarim-makineleri-c-9256"
"Dervişoğlu Mermer San. Tic. Ltd. Şti.","Firma","Mermer ve doğal taş ihracatı","TurkExim mermer firmaları listesinde Türk mermer firması olarak email ve web ile yer alıyor; Rusya, Azerbaycan, Gürcistan, Kazakistan ve Ukrayna yapı/doğal taş hedef pazarları için aday.","info@dervisoglumarble.com","","http://www.dervisoglumarble.com","https://www.ithalatihracat.biz/?pnum=8793"
