firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"BYS Grup","Hizmet/İhracat destek","Yazılım, web geliştirme, dijital dönüşüm","TİM Azerbaijan Baku 2026 katılımcı kaynaklarında capability statement; AB Türkiye web siteleri, TYPO3 CMS, veri tabanı ve uygulama geliştirme referansları","info@bysgrup.com","","https://www.bysgrup.com","https://delegations.tim.org.tr/storage/uploads/company/70194/Ur8dxTykdaqAUNEvTNn4tlfeJo60yb0gCl73Whg5.pdf; https://www.bysgrup.com"
"Diler Dış Ticaret A.Ş. / Diler Holding","Üretici/İhracatçı","Çelik, PC strand, yüksek karbon filmaşin, inşaat demiri","TİM Japan Tokyo 2024 delegasyon katılımcısı; Türkiye'nin ilk 10 çelik ihracatçısı içinde yer alma ve 3.000.000 t/yıl ham çelik kapasitesi beyanı","info@dilerhld.com","","https://www.dnawire.com/en/","https://delegations.tim.org.tr/event/japan-tokyo-2024/company/diler-holding-3; https://www.dnawire.com/en/"
"PayTR","Hizmet/İhracat destek","Fintech, ödeme altyapısı, e-ihracat ödeme çözümleri","TİM Germany Berlin-Hamburg E-Export Delegation 2026 katılımcısı; Türkiye merkezli güvenli, hızlı ve ölçeklenebilir ödeme çözümleri sağlayıcısı","info@paytr.com","","https://www.paytr.com/","https://delegations.tim.org.tr/event/germany-berlin-hamburg-e-export-delegation-2026/company/paytr-1; https://www.paytr.com/"
"ESFA Grup","Lojistik/E-ihracat hizmet sağlayıcı","E-ihracat, lojistik hub, uçtan uca ihracat çözümleri","TİM Morocco Casablanca 2026 delegasyon katılımcısı; Türkiye'den ABD, AB ve Orta Doğu'ya e-ihracat ve lojistik merkezi beyanı","info@esfagrup.com","","https://www.esfagrup.com/","https://delegations.tim.org.tr/event/morocco-casablanca-2026/company/esfa-grup; https://www.esfagrup.com/"
"ADA Food","Üretici/İhracatçı","Yemeklik yağlar, makarna, gıda","TİM South Africa Johannesburg 2026 delegasyon katılımcısı; ISO 9001, HACCP ve FDA sertifikalarıyla yüksek kaliteli yemeklik yağ ve makarna ihracatı beyanı","info@adafood.com.tr","","https://www.adafood.com.tr/","https://delegations.tim.org.tr/event/south-africa-johannesburg-2026/company/ada-food; https://www.adafood.com.tr/"
"Lila Cosmetics","Üretici/İhracatçı","Kozmetik, profesyonel ve perakende saç bakım ürünleri","TİM Morocco Casablanca 2026 delegasyon katılımcısı; Sea Color, Lilafix, Maxx dahil 6 marka ile 63 ülkeye ihracat beyanı","info@lilacosmetics.com.tr","","https://www.lilacosmetics.com.tr/","https://delegations.tim.org.tr/event/morocco-casablanca-2026/company/lila-cosmetics-1; https://www.lilacosmetics.com.tr/"
"Jotun Boya Sanayi ve Ticaret A.Ş.","Üretici/İhracatçı","Boya, kaplama ve kimya","Ask Türkiye Turkish Paints kaydı; Türkiye'de boya/kaplama üretim ve dağıtım varlığı, bölgesel proje tedariki potansiyeli","boya@jotun.com.tr","","https://www.jotun.com/tr-tr","https://askturkiye.com/company/jotun-boya-sanayi-ve-ticaret-as"
"Yakamoz Sirke Fermantasyon Ürünleri Gıda Taşımacılık San. ve Tic. Ltd. Şti.","Üretici/İhracatçı","Sirke, sos, NFC meyve suyu, gıda","Türkiye merkezli; Avrupa'nın önde gelen sirke/sos/NFC juice üreticilerinden, 20+ ülkeye ihracat ve FDA/FSSC22000/ISO/Halal belge beyanı","yakamoz@yakamoz.com","+90 236 314 37 57","https://yakamoz.com/","https://askturkiye.com/company/yakamoz-sirke-fermantasyon-urunleri-gida-tasimacilik-sanayi-ve-ticaret-limited-sirketi?brandId=656"
"Pia Bilişim Hizmetleri A.Ş.","Hizmet/İhracat destek","BT çözümleri, dijital dönüşüm, yazılım","Türkiye merkezli teknoloji şirketi; global uzmanlıkla farklı sektörlerde dijital dönüşüm çözümleri, ihracatçı/uluslararası müşteri potansiyeli","info@pia-team.com","+90 539 654 12 34","https://www.pia-team.com/","https://askturkiye.com/company/pia-bilisim-hizmetleri-anonim-sirketi"
"Wavin TR Plastik Sanayi A.Ş.","Üretici/İhracatçı","Plastik boru sistemleri, PPR-C, PVC, drenaj ve altyapı çözümleri","Türkiye merkezli plastik boru ve altyapı sistemleri üreticisi; Ask Türkiye Turkish Plastics kaydı ve bölgesel altyapı/ihracat projeleri için uygun","ramazan.kandemir@orbia.com","+90 322 999 10 00; +90 533 959 21 08","https://wavin.com/tr/tr","https://askturkiye.com/company/wavin-tr-plastik-sanayi-as"
