firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"İlk İhracat A.Ş. / Steeling.net","Dış ticaret/İhracatçı","Metal, çelik, alüminyum, fason üretim, CNC, lazer kesim","Birden fazla Türk metal üreticisinin ortak ihracat şirketi; dünya genelindeki müşterilerin metal ihtiyaçlarını karşılamaya odaklı","info@steeling.net","+90 533 212 65 95","https://steeling.net","https://askturkiye.com/company/ilk-ihracat-anonim-sirketi?id=19520; https://askturkiye.com/company/ilk-ihracat-anonim-sirketi?id=19521"
"Panço Giyim San. ve Tic. A.Ş.","Üretici/İhracatçı","Çocuk giyim, hazır giyim","Türkiye'nin önde gelen çocuk moda markalarından; 100+ Türkiye mağazası, 110 civarı uluslararası mağaza, 80 ülkeye ihracat ve 1.500+ toptancı ağı","elcin.abdullayev@panco.com.tr","+90 535 570 09 68","http://www.panco.com.tr","https://www.askturkiye.com/company/panco-giyim-san-ve-tic-as"
"King Pazarlama ve Dış Ticaret A.Ş.","Dış ticaret/İhracatçı","Küçük ev aletleri","Türkiye merkezli 70+ yıllık küçük ev aletleri markası; global marka ve ihracat potansiyeli","duygu.yilmaz@king.com.tr","+90 554 564 98 69","https://www.king.com.tr/","https://askturkiye.com/company/king-pazarlama-ve-dis-ticaret-anonim-sirketi"
"Gabhome Ltd","Tedarikçi/İhracatçı","Ev gereçleri, sofra/mutfak ürünleri, cam, porselen, çelik, emaye","Türkiye/Gaziantep merkezli ev ve mutfak ürünleri tedarikçisi; müşteri logolu ürün tedariki ve ihracat odaklı Ask Türkiye kaydı","info@gabhome.com.tr; export@gabhome.com.tr","+90 342 225 11 11; +90 501 244 10 00; +90 533 954 33 33","http://gabhome.com.tr","https://askturkiye.com/company/gabhome-ltd"
"Palamidas Zeytin Zeytinyağı Gıda Maddeleri Tarım Ürünleri İnşaat Taahhüt Turizm San. ve Tic. Ltd. Şti.","Üretici/İhracatçı","Zeytin, zeytinyağı ve gıda","Türkiye/Manisa merkezli zeytin ve zeytinyağı üreticisi; Turkish Olive and Olive Oil Products kaydı ve uluslararası pazar potansiyeli","export@palamidas.com","+90 537 440 61 19","https://www.palamidasoliveoil.com","https://askturkiye.com/company/palamidas-zeytin-zeytinyagi-gida-maddeleri-tarim-urunleri-insaat-taahhut-turizm-sanayi-ve-ticltds"
"Ardan Boru Ltd. Şti. / Ardan Irrigation Systems","Üretici/İhracatçı","Sulama sistemleri, tarımsal sulama ekipmanları","Türkiye/Manisa merkezli sulama sistemleri firması; tarımsal sulama sorunları için bölgesel partner arayışı ve ihracat tanıtımı","info@ardan.com.tr; export@ardan.com.tr","+90 236 588 45 00","http://ardan.com.tr","https://test.askturkiye.com/company/ardan-irrigation-systems; https://test.askturkiye.com/company/ardan-boru-limited-sirketi"
"Fay Mekanik San. ve Tic. Ltd. Şti.","Üretici/İhracatçı","Gaz güvenliği ekipmanları, deprem vanaları, solenoid vanalar","Türkiye/İstanbul merkezli Ar-Ge odaklı gaz güvenliği teknolojileri üreticisi; ulusal ve uluslararası pazarlarda faaliyet beyanı","info@faymakine.com.tr","+90 533 303 86 29","http://www.faymakine.com.tr","https://www.askturkiye.com/company/fay-mekanik-san-ve-ticltdsti"
"Maye Motorlu Araçlar Oto. Ürün ve İlaçl. San. Tic. Ltd. Şti.","Tedarikçi/İhracatçı","Otomotiv ürünleri, elektrik-elektronik, döküm","Türkiye merkezli otomotiv ürünleri firması; Ask Türkiye Turkish Automotive ve Electric/Electronics sektör kaydı","import-export@mayeotomotiv.com","+90 850 888 62 93","http://www.mayeotomotiv.com.tr","https://askturkiye.com/company/maye-motorlu-araclar-oto-urun-ve-ilacl-san-tic-ltd-sti"
"Kaya Plastik Otomotiv San. ve Dış Tic. Ltd. Şti.","Üretici/İhracatçı","Otomotiv plastik ürünleri","Türkiye/İstanbul merkezli otomotiv üretici-ihracatçısı; 28 ülkeye ihracat ve dünya pazarlarında marka bilinirliği beyanı","info@kayaplastik.com.tr","","https://www.kayaplastik.com.tr/","https://askturkiye.com/company/kaya-plastik-otomotiv-san-ve-dis-tic-ltd-sti; https://www.kayaplastik.com.tr/"
"Altun Gıda Mad. İth. İhr. Nak. Tic. Ltd. Şti.","Üretici/İhracatçı","Narenciye, yaş meyve-sebze","Türkiye/Hatay-Dörtyol merkezli narenciye ve yaş meyve-sebze üretici/ihracatçısı; 60.000 MT taze ürün ihracatı beyanı","foreigntrade@altungida.com","","http://altungida.com","https://test.askturkiye.com/company/altun-gida-madithihrnakticltdsti"
