firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Kolin İnşaat Turizm Sanayi ve Ticaret A.Ş.","Müteahhit/Proje hizmet sağlayıcı","İnşaat, altyapı, üstyapı, enerji ve ulaşım projeleri","TİM Azerbaijan Baku 2026 delegasyon katılımcısı; Bakü ofisi ve Azerbaycan bağlantısı bulunan büyük Türk müteahhitlik firması","kolin@kolin.com.tr; kolin@kolinksa.com; alican.hayvali@kolin.com.tr","+90 312 447 17 00; +994 12 377 00 10; +966 11 217 44 34","https://www.kolin.com.tr","https://delegations.tim.org.tr/event/azerbaijan-baku-2026/company/kol-insaat; http://tmb.org.tr/tr/m/607001686712cf3d22e3edc8/kolin-insaat-turizm-sanayi-ve-ticaret-a-s; http://protokol.org.tr/kurum-detay/KRM-KLN?lang=en"
"Nüve Sanayi Malzemeleri İmalat ve Ticaret A.Ş.","Üretici/İhracatçı","Laboratuvar ve sterilizasyon cihazları","TİM Kazakhstan-Kyrgyzstan 2024 delegasyon katılımcısı; Türkiye'nin önde gelen laboratuvar ve sterilizasyon cihazları üreticilerinden","sales@nuve.com.tr","","http://www.nuve.com.tr","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/nuve; https://nuve.com.tr/index.php/en/about-us/company"
"Logitaş Lojistik","Lojistik hizmet sağlayıcı","Uluslararası nakliye, Orta Asya/BDT taşımacılığı","Türkiye merkezli lojistik firması; İran, Gürcistan, Özbekistan, Türkmenistan, Ukrayna, Rusya, Kazakistan, Kırgızistan, Tacikistan, Irak, Azerbaycan ve Avrupa ülkeleri hatları","info@logitas.com.tr","+90 538 695 57 36; +90 543 509 44 04","https://logitas.com.tr/","https://logitas.com.tr/"
"Yıldırım Logistics","Lojistik hizmet sağlayıcı","Uluslararası lojistik, Avrupa/Gürcistan/Azerbaycan taşımacılığı","Türkiye'nin tüm bölgelerine, Gürcistan, Azerbaycan, Almanya ve Avrupa hattına lojistik çözümleri","info@yildirimlojistik.com","+90 212 563 96 64","https://www.yildirimlojistik.com","https://www.instagram.com/reel/DRIQHVoioP0/"
"Sultanlar Lojistik / Sultanlar Nakliyat","Lojistik hizmet sağlayıcı","Uluslararası nakliye, Avrupa/Irak/İran/Gürcistan/Azerbaycan hattı","Türkiye'den Avrupa'ya ve Irak, İran, Gürcistan, Azerbaycan hatlarına nakliye/lojistik hizmeti","info@sultanlarnakliyat.com","","https://www.sultanlarnakliyat.com","https://www.instagram.com/p/CeLJP0eDOs7/"
"Ant Ahşap Sanayi ve Ticaret A.Ş.","Üretici/İhracatçı","Ahşap ürünler, dekoratif panel/kompakt laminat ürünleri","Gentaş yayın kaynağında Türkiye merkezli ahşap ürün tedarikçisi; proje/inşaat ve bölgesel ihracat tedarik potansiyeli","info@antahsap.com.tr","+90 212 670 32 37; +90 212 670 32 38; +90 212 670 22 11","https://antahsap.com.tr","https://www.gentas.com.tr/Webkontrol/IcerikYonetimi/Dosyalar/217g-news-10-sayi_yayin_g129_Xo9kWQDd.pdf"
"Bostik Kimya A.Ş.","Üretici/İhracatçı","Yapıştırıcılar, mastikler, yapı ve endüstriyel kimyasallar","TİM Uzbekistan Tashkent 2026 delegasyon katılımcısı; inşaat, endüstri ve tüketici pazarları için yapıştırıcı/mastik üretici ve distribütörü","info.turkey@bostik.com","","http://bostik.com","https://delegations.tim.org.tr/event/uzbekistan-tashkent-2026/company/bostik-1; http://bostik.com"
"Emka Global Lojistik","Lojistik hizmet sağlayıcı","Kırgızistan, Özbekistan, Tacikistan ve Kazakistan nakliye","Türkiye/Kocaeli merkezli; Kırgızistan, Özbekistan, Kazakistan ve Tacikistan gibi Orta Asya hatlarında taşıma hizmeti","info@emkaglobal.com.tr","+90 553 963 41 75; +90 542 449 59 75","https://emkaglobal.com.tr","https://emkaglobal.com.tr/kirgizistan; https://emkaglobal.com.tr/ozbekistan"
"Aras Global Cargo / Aras Kargo Yurtiçi Yurtdışı Taşımacılık A.Ş.","Kargo/Lojistik hizmet sağlayıcı","E-ticaret kargo, Azerbaycan/Orta Asya/Kafkas lojistik ağı","Azerbaycan yatırımlarını derinleştiriyor; Gürcistan ve Özbekistan operasyonları başlatıldı, Orta Asya ve Kafkaslar'a stratejik lojistik köprü hedefi","araskargo@hs02.kep.tr","0 216 538 55 00; 444 25 52","https://arasglobalcargo.com/","https://arasglobalcargo.com/news/detail/1; https://www.araskargo.com.tr/iletisim"
"Mira 14 Lojistik ve Nakliye Hizmetleri","Lojistik hizmet sağlayıcı","Rusya, Ukrayna, Kazakistan, Azerbaycan, Belarus ve Orta Asya nakliye","Türkiye merkezli uluslararası nakliye firması; Rusya, Ukrayna, Kazakistan, Azerbaycan, Belarus, Gürcistan ve Kırgızistan hatları","info@mira14lojistik.com; muhasebe@mira14lojistik.com","+90 507 238 75 03; +90 212 778 11 28","https://mira14lojistik.com/","https://mira14lojistik.com/; https://mira14lojistik.com/iletisim; https://mira14lojistik.com/azerbaycan-nakliye"
