firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
Demiral Uluslararası Nakliyat A.Ş.,Firma,Uluslararası karayolu taşımacılığı,Resmi firma sitesi Rusya Ukrayna ve Kazakistan hatlarını açıkça belirtiyor,info@demiralnakliyat.com.tr,+90 216 394 32 22,https://demiralnakliyat.com.tr,https://demiralnakliyat.com.tr/en/corporate/
Logimodal Lojistik Hizmetleri A.Ş.,Firma,Transit ve uluslararası lojistik,Resmi firma ve şirket profili Avrupa-Rusya-Türk Cumhuriyetleri ile Özbekistan Türkmenistan Azerbaycan Kazakistan hatlarını belirtiyor,info@logimodal.com.tr,+90 216 514 99 33,https://logimodal.com.tr,https://logimodal.com.tr/; https://www.linkedin.com/company/logimodal-loji%C4%9Fistik-hizmetleri-a-%C5%9F
Boreas Global Lojistik,Firma,Karayolu denizyolu demiryolu ve proje taşımacılığı,Resmi firma sitesi Rusya Kazakistan Azerbaycan Ukrayna Türkmenistan Kırgızistan ve Orta Asya hatlarını açıkça belirtiyor,info@boreaslojistik.com,+90 216 469 00 61,https://boreaslojistik.com,https://boreaslojistik.com/
Baytur Global Lojistik A.Ş.,Firma,Komple ve parsiyel taşımacılık,Resmi firma sitesi Türkiye-Rusya ve Orta Asya taşımacılığını açıkça belirtiyor,info@bayturtransport.com,+90 216 573 41 11,https://bayturtransport.com,https://bayturtransport.com/
AV-NUR Uluslararası Taşımacılık,Firma,Karayolu ve entegre lojistik,Resmi firma sitesi Rusya Kafkaslar ve Orta Asya hatlarını açıkça belirtiyor,info@av-nur.com,+90 216 527 87 87,https://av-nur.com,https://av-nur.com/
Tolkun Logistics,Firma,Denizyolu demiryolu ve multimodal lojistik,Resmi firma sitesi Türkiye-Rusya ve Orta Asya odaklı operasyonları açıkça belirtiyor,info@tolkun.org,+90 216 348 73 48,https://tolkun.org,https://tolkun.org/
NATA-TKN Gemi Acenteliği Nakliyat,Firma,Denizyolu ve transit lojistik,Resmi şirket profili Türkiye-AB ve BDT komşu ülkeleri transit taşımacılığını belirtiyor,info@natagroup.com.tr,+90 324 238 41 90,https://www.natagroup.com.tr,https://www.natagroup.com.tr/
Silkroad Avrasya Multimodal Logistics,Firma,Multimodal lojistik ve Orta Asya taşımacılığı,Resmi şirket profili Orta Asya ve Hazar-Kafkas bağlantılarını açıkça belirtiyor,info@silkroadavrasya.com.tr,+90 555 882 70 50,https://silkroadavrasya.com.tr,https://silkroadavrasya.com.tr/
Kervan Logistics,Firma,Turkmenistan lojistik gümrük ve taşımacılık,Resmi şirket sitesi Türkmenistan merkezli Türk temsilciliğini ve bölgesel taşımacılığı açıkça belirtiyor,info@kervanlogistics.com,+90 506 640 10 79,https://www.kervanlogistics.com,https://www.kervanlogistics.com/iletisim
Önder Shipping & Logistics,Firma,Denizyolu karayolu ve gümrük lojistiği,Resmi firma sitesi Rusya Kazakistan Özbekistan ve BDT ülkelerine hizmet verdiğini açıkça belirtiyor,info@onderlogistics.com,+90 555 090 21 80,https://onderlogistics.com,https://onderlogistics.com/
