firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Acıbadem Sağlık Hizmetleri ve Ticaret A.Ş.","Firma","Sağlık hizmetleri ve hastane işletmeciliği","Resmi Acıbadem iletişim sayfası Moskova Grozni ve Kazan Rusya ofislerini ve bölgesel iletişim adreslerini listeliyor","marina.yilmaz@acibadem.com; khava.mutsalova@acibadem.com; anna.aslan@acibadem.com","+7 495 135 82 80; +7 929 890 50 56; +7 906 111 19 10","https://www.acibadem.com.tr","https://www.acibadem.com.tr/iletisim/"
"March Logistics","Firma","Uluslararası lojistik ve taşımacılık","Resmi March Logistics sayfası Türkiye Özbekistan taşımacılığını ve Taşkent Özbekistan ofisini listeliyor","info@marchlogistics.com.tr","+998 90 827 22 02","https://www.marchlogistics.com.tr","https://www.marchlogistics.com.tr/ozbekistan"
"Öznak Group International Transport","Firma","Uluslararası karayolu ve multimodal taşımacılık","Resmi şirket sayfası Türkiye Özbekistan taşımacılık hattını ve Rusya Kazakistan Türkmenistan güzergahlarını açıklıyor","info@oznakgroup.com.tr","+90 544 645 48 74","https://oznakgroup.com.tr","https://oznakgroup.com.tr/index.php/ozbekistan-nakliye"
"Yüksel Proje","Firma","Mühendislik müşavirlik ve altyapı projeleri","Resmi iletişim sayfası Yüksel Projenin Taşkent Özbekistanda ofis ve e-posta iletişimini listeliyor","yproje@yukselproje.com.tr","+998 93 879 18 87","https://www.yukselproje.com.tr","https://www.yukselproje.com.tr/iletisim"
"İlkur Agriculture and Food Products Co. Ltd.","Firma","Tarım gıda ve Artemia üretimi","Şirket profili İstanbul merkezli İlkurun Özbekistanda Artemia üretim tesisi bulunduğunu ve Özbekistan/Kazakistan Aral Denizi hammaddeleriyle çalıştığını açıklıyor","info@ilkur.biz","+90 546 655 89 39","https://ilkur.biz","https://linkedin.com/company/i%CC%87lkur"
"Sözal Kimya Sanayi ve Ticaret A.Ş.","Firma","Tekstil boyaları kimyasalları ve silikonlar","Kamuya açık şirket profili Türkiye merkezli Sözal Kimyanın Özbekistanda çalışan dağılımı ve faaliyet bağlantısı bulunduğunu belirtiyor","info@sozal.com.tr","+90 224 331 51 53","https://sozal.com.tr","https://sozal.com.tr/"
"Berko İlaç ve Kimya Sanayi A.Ş.","Firma","İlaç ve farmasötik ürünler","Kamuya açık şirket profili Türkiye merkezli Berko İlaçın Belarus dahil bölgede çalışan ve faaliyet bağlantısını belirtiyor","info@berko.com.tr; pv@berko.com.tr; berkokurumsal@berko.com.tr","+90 216 456 65 70","https://berkoilac.com.tr","https://berkoilac.com.tr/"
"Centrochem Kimya Sanayi ve Dış Ticaret A.Ş.","Firma","Kimyasal hammadde ve dış ticaret","Şirket profili Centrochemın Türkiye merkezli depolama ağında Odessa Ukrayna bulunduğunu ve Rusya ticaret bağlantısını belirtiyor","polimer@centrochem.org","","https://centrochem.org","https://centrochem.org/"
"Söke Değirmencilik Sanayi ve Ticaret A.Ş.","Firma","Un ve gıda üretimi","Kamuya açık şirket profili Türkiye merkezli Söke Değirmenciliğin Kazakistan bağlantılı çalışan ve faaliyet yapısını belirtiyor","info@soke.com.tr","+90 256 554 63 54","https://soke.com.tr","https://soke.com.tr/"
"Eczacıbaşı Tüketim Ürünleri Sanayi ve Ticaret A.Ş. / Sanipak","Firma","Tüketim ürünleri ve hijyen üretimi","Kamuya açık şirket profili Türkiye merkezli Eczacıbaşı Tüketim Ürünlerinin Kazakistan bağlantılı çalışma ve faaliyet yapısını belirtiyor","sanipak@sanipak.com","","https://sanipak.com","https://sanipak.com/"
"Evyap Sabun Yağ Gliserin Sanayi ve Ticaret A.Ş.","Firma","Kozmetik temizlik ve tüketim ürünleri","Kamuya açık şirket profili Türkiye merkezli Evyapın Rusya dahil çok ülkeli çalışan yapısını belirtiyor","marketing@evyap.com.tr","+90 850 211 08 10","https://evyap.com.tr","https://evyap.com.tr/"
