firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"FXNAK Lojistik","Firma","Lojistik / uluslararası nakliye","Ukrayna nakliye hizmeti; Hatay merkezli uluslararası profesyonel nakliyat","info@fxnak.com.tr","+90 506 684 56 80; +90 850 474 13 33","https://www.fxnak.com.tr/","https://www.fxnak.com.tr/ukrayna-nakliye/"
"Rusya Taşımacılık","Firma","Lojistik / Rusya ve Kazakistan nakliye","Kazakistan ve Rusya nakliye operasyonları; Türkiye-Kazakistan-Rusya lojistik hizmetleri","info@rusyatasimacilik.com","+90 542 247 81 80","https://www.rusyatasimacilik.com/","https://www.rusyatasimacilik.com/kazakistan-nakliye/"
"EK-KO Group Logistics","Firma","Lojistik / yurtdışı nakliye","Türkiye-Gürcistan-Azerbaycan nakliye hizmetleri; kapıdan kapıya teslimat, gümrükleme ve lojistik destek","info@ekkologistics.com","","https://www.ekkologistics.com/","https://www.ekkologistics.com/tr/yurtdisi-nakliye/turkiye-gurcistan-azerbaycan-nakliye-hizmetleri"
"Aktif Nakliye","Firma","Nakliye / kargo / lojistik / depolama","Türkiye merkezli nakliye, kargo, lojistik, depolama ve gümrük taşımacılık hizmetleri; hedef pazar lojistik potansiyeli","info@aktifnakliye.com.tr","+90 551 971 57 91","https://aktifnakliye.com.tr","https://platform.tracxn.com/a/d/company/6421c71bb55307569319f0ee/aktifnakliye?utm_source=parallel&utm_medium=ai#a:about"
"Alfa Makina Sanayi İnşaat Ticaret Ltd. Şti.","Firma","Makine / elevasyon sistemleri","Ask Türkiye kaydı; Türk makine üreticisi/ihracatçı profili, hedef pazarlara makine ihracatı potansiyeli","pazarlama@alfaelevationsystems.com","+90 212 706 50 29; +90 532 723 71 99","https://alfaelevationsystems.com/en/","https://www.askturkiye.com/company/alfa-makina-sanayi-insaat-ticaret-limited-sirketi"
"King Pazarlama ve Dış Ticaret A.Ş.","Firma","Küçük ev aletleri / dış ticaret","Ask Türkiye kaydı; Türkiye merkezli 70+ yıllık küçük ev aletleri markası ve dış ticaret şirketi","duygu.yilmaz@king.com.tr","+90 554 564 98 69","https://www.king.com.tr/","https://askturkiye.com/company/king-pazarlama-ve-dis-ticaret-anonim-sirketi"
"Demirbilek Endüstriyel Mak. İnş. Plastik Or. Ür. İth. İhr. San. ve Tic. Ltd. Şti.","Firma","Ahşap ürünleri / palet ve inşaatlık kereste","Ask Türkiye kaydı; ithalat-ihracat ve ahşap ürün tedarik ağı","info@demirbilekgroup.com","","http://demirbilekgroup.com","https://askturkiye.com/company/demirbilek-endustriyel-mak-ins-plastik-or-ur-ith-ihr-sn-ve-tic-ltd-sti"
"Altınboğa Gaz Aletleri Makina San. ve Tic. Ltd. Şti.","Firma","LPG regülatörleri / gaz ekipmanları / otomotiv yan sanayi","Ask Türkiye kaydı; Avrupa, Asya, Afrika, Orta Doğu, Kuzey ve Güney Amerika satış ağı; hedef pazarlara uygun gaz ekipmanları ihracatı","gazaletleri@altinboga.com.tr","+90 531 303 60 88","https://www.altinboga.com.tr","https://www.askturkiye.com/company/altinboga-gaz-aletleri-makina-sanve-ticltdsti"
"Usta Gıda Sanayi ve Ticaret A.Ş.","Firma","Kuru meyve / tarım ürünleri ihracatı","Ask Türkiye kaydı; 1985'ten beri kuru kayısı, kuru incir ve tarım ürünleri ihracatı; hedef pazarlara gıda ihracatı potansiyeli","miray@ustafood.com","+90 533 480 61 06","http://www.ustafood.com","https://askturkiye.com/company/usta-gida-sanayi-ve-ticaret-as"
"Bata Food - Bardakçı Tarım Gıda İç ve Dış Tic. Ltd. Şti.","Firma","Gıda bileşenleri / kuru meyve, kuruyemiş, bakliyat","Ask Türkiye kaydı; İstanbul merkezli ithalat-ihracat ve gıda ürünleri tedarikçisi","info@batafood.com","+90 216 326 36 77","http://batafood.com","https://www.askturkiye.com/company/bata-food-bardakci-tarim-gida-ic-ve-dis-tic-ltd-sti?brandId=42"
