firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
Çalık Holding,Firma,İnşaat enerji tekstil ve madencilik,Özbekistan-Türkiye İş Konseyi toplantısında Türk tarafını temsil eden ve Özbekistan ile iş bağlantısı bulunan Türk holdingi,,,https://calik.com/en,https://president.uz/en/lists/view/7295
Çalık Enerji,Firma,Enerji,Özbekistan'da enerji yatırımları ve projeleri bulunan Türk enerji şirketi,info@calikenerji.com,+90 212 942 90 90,https://www.calikenerji.com/tr/iletisim,https://www.aksaenerji.com.tr/power-plants/uzbekistan-tashkent-b-natural-gas-combined-cycle-power-plant
Cengiz Holding,Firma,Enerji madencilik ve inşaat,Özbekistan-Türkiye İş Konseyi toplantısında Türk tarafını temsil eden Türk holdingi,,+90 216 554 53 00,https://www.cengizholding.com.tr/en,https://president.uz/en/lists/view/7295
Acıbadem Sağlık Grubu,Firma,Sağlık turizmi,Özbekistan'da Taşkent ve Buhara sağlık hizmeti bağlantısı bulunan Türk sağlık grubu,,,https://www.acibadem.com.tr/en/hospital/uzbekistan-buhara/,https://president.uz/en/lists/view/7295
Acıbadem Sağlık Grubu Kırgızistan,Firma,Sağlık turizmi,Bişkek'te resmi temsilcilik/ofis bulunan Türk sağlık grubu,kyrgyzstan@acibadem.com,+996 312 624 588; +996 702 000 252,https://www.acibadem.com.tr/iletisim,https://www.acibadem.com.tr/iletisim
Anadolu Group,Firma,İçecek otomotiv sağlık ve perakende,Özbekistan'da Coca-Cola İçecek yatırımı ve üretim faaliyetleri bulunan Türk grup,investor.relations@anadolugrubu.com.tr,+90 216 578 85 00,https://www.anadolugroup.com/en/investor-relations/contact,https://www.anadolugroup.com/en/media-center/news-from-anadolu
Anadolu Efes,Firma,İçecek ve gıda,Özbekistan'da stratejik üretim ortaklığı açıklayan Türk içecek şirketi,,,https://anadoluefes.com/Upload/Docs/2026/announcements/Announcement-Regarding-Strategic-Manufacturing-Partnership-in-Uzbekistan.pdf,https://anadoluefes.com/Upload/Docs/2026/announcements/Announcement-Regarding-Strategic-Manufacturing-Partnership-in-Uzbekistan.pdf
Aksa Power Generation,Firma,Enerji ekipmanları,Taşkent'te resmi ofis ve operasyon bulunan Türk enerji ekipmanı şirketi,info@aksa.uz,+998 78 150 27 47,https://aksa.uz/en-us/head-office,https://aksa.uz/en-us/head-office
Aksa Enerji,Firma,Enerji,Özbekistan Taşkent ve Buhara'da doğal gaz santrali yatırımları bulunan Türk enerji şirketi,,,https://www.aksaenerji.com.tr/power-plants/uzbekistan-tashkent-b-natural-gas-combined-cycle-power-plant,https://www.aksaenerji.com.tr/power-plants/uzbekistan-tashkent-b-natural-gas-combined-cycle-power-plant
Zorlu Holding,Firma,Elektronik tekstil ve enerji,Özbekistan-Türkiye İş Konseyi toplantısında Türk tarafını temsil eden Türk holdingi,kurumsaliletisimvesurdurulebilirlik@zorlu.com,+90 212 456 20 00,https://www.zorlu.com.tr/en/media-center/media-cummunication-center,https://president.uz/en/lists/view/7295
Kalyon Holding,Firma,İnşaat ve enerji,Özbekistan-Türkiye İş Konseyi toplantısında Türk tarafını temsil eden Türk holdingi,info@kalyonholding.com,+90 216 680 41 80,https://kalyonholding.com/Contact-Us,https://president.uz/en/lists/view/7295
Onur Group,Firma,İnşaat altyapı ve madencilik,Ukrayna'da aktif projeler ve operasyonlar bulunan Türk müteahhitlik grubu,communication@onurgroup.com,+90 312 491 49 00,https://www.onurgroup.com/en/ulke/ua,https://www.onurgroup.com/en/sosyal-sorumluluk/support-to-ukraine
Turkon Line,Firma,Denizcilik ve lojistik,Ukrayna'da resmi ofis ve liman iletişim bilgileri bulunan Türk denizcilik şirketi,,,https://turkon.com/ofisler/ukrayna,https://turkon.com/ofisler/ukrayna
Turkish Development Ukraine,Firma,İnşaat ve gayrimenkul,Kharkiv'de resmi ofisi ve konut projeleri bulunan Türkiye bağlantılı inşaat şirketi,info@turkishdevelopment.com.ua,+38 099 211 95 61; +38 066 134 34 34,https://turkishdevelopment.com.ua/en/contacts/,https://turkishdevelopment.com.ua/en
Bosphorus Development,Firma,İnşaat ve gayrimenkul,İstanbul ve Kyiv ofisleri bulunan Türkiye bağlantılı gayrimenkul şirketi,info@bosphorusdevelopment.com,+38 044 221 61 29,https://bosphorusdevelopment.com/en/contact,https://bosphorusdevelopment.com/en/contact
MFA Lojistik,Firma,Demiryolu ve multimodal lojistik,Özbekistan Türkmenistan Kazakistan Kırgızistan Tacikistan ve Rusya hatlarında demiryolu taşımacılığı yapan Türk lojistik şirketi,,,https://mfalojistik.com/portfolio/demiryolu-tasimaciligi/,https://mfalojistik.com/portfolio/demiryolu-tasimaciligi/
Hasko Lojistik,Firma,Uluslararası lojistik,Özbekistan Türkmenistan ve Kazakistan hatlarında Türkiye merkezli lojistik hizmeti,ilhanbeyter6@gmail.com,+90 544 256 59 91,https://haskoloj.com.tr,https://haskoloj.com.tr
Beyter Groups Lojistik,Firma,Uluslararası lojistik,Özbekistan Türkmenistan Kazakistan ve Gürcistan hatlarında Türkiye merkezli taşımacılık hizmeti,eyupbeyter04@gmail.com,+90 542 688 68 30,https://beytergroupslojistik.com,https://beytergroupslojistik.com
Türkmen Lojistik,Firma,Uluslararası lojistik,Orta Asya ve Türkmenistan hattında hizmet veren Ankara merkezli Türk lojistik firması,info@turkmenlojistik.net,+90 312 278 24 63,https://turkmenlojistik.net/iletisim,https://turkmenlojistik.net/iletisim
Logitaş Lojistik,Firma,Uluslararası lojistik,Özbekistan Türkmenistan Ukrayna Rusya Kazakistan Kırgızistan Tacikistan Azerbaycan ve Gürcistan hatlarında hizmet veren Türk lojistik firması,,,https://logitas.com.tr/,https://logitas.com.tr/
Baytur Transport,Firma,Uluslararası lojistik,Kazakistan Özbekistan Kırgızistan Rusya Azerbaycan Gürcistan Türkmenistan Tacikistan ve Moğolistan hatlarında hizmet veren Türk taşımacılık firması,,,https://bayturtransport.com,https://bayturtransport.com
