firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Rapro Kimya Turizm Bilişim San. ve Tic. A.Ş.","Firma","Otomotiv kauçuk hortum ve yedek parça üretimi","Türkiye merkezli otomotiv kauçuk parça üreticisi; küresel ihracat ve OEM tedarik ağıyla Rusya, Ukrayna, Kazakistan, Özbekistan, Azerbaycan, Gürcistan ve Kırgızistan hedef pazarları için otomotiv yedek parça adayı.","info@rapro.com.tr","+90 232 877 24 84","https://rapro.com.tr","https://platform.tracxn.com/a/d/company/531ab85fe4b0f7e16616315a/rapro?utm_source=parallel&utm_medium=ai#a:about"
"Logitaş Lojistik","Firma","Uluslararası lojistik, kimyasal madde taşımacılığı ve depolama","Resmi sitede hizmet ülkeleri arasında Rusya, Ukrayna, Kazakistan, Kırgızistan, Özbekistan, Gürcistan ve Azerbaycan açıkça listeleniyor; hedef pazar bağlantıları doğrulanıyor.","info@logitas.com.tr","","https://logitas.com.tr/","https://logitas.com.tr/"
"Kayra Lojistik","Firma","Uluslararası karayolu, parsiyel, proje ve ağır yük taşımacılığı","Resmi sitede parsiyel taşımacılık pazarları Rusya, Kazakistan, Kırgızistan, Özbekistan, Türkmenistan, Azerbaycan ve Gürcistan olarak listeleniyor; hedef pazar bağlantıları doğrulanıyor.","info@kayralojistik.com.tr","","https://www.kayralojistik.com.tr/","https://www.kayralojistik.com.tr/"
"Kıta Logistics","Firma","Uluslararası lojistik ve yurtdışı ofis ağı","Resmi sitede yurtdışı ofisleri arasında Kazakistan, Özbekistan ve Gürcistan yer alıyor; Orta Asya/Kafkasya bağlantıları doğrulanıyor.","info@kitalogistics.com","","https://www.kitalogistics.com/","https://www.kitalogistics.com/"
"Reynak Lojistik","Firma","Kazakistan, Rusya ve Ukrayna taşımacılığı","Resmi sitede Kazakistan, Rusya ve Ukrayna taşımacılığı odağı açıkça belirtiliyor; hedef pazar bağlantıları doğrulanıyor.","info@reynaklojistik.com","+90 212 812 18 30","https://www.reynaklojistik.com/","https://www.reynaklojistik.com/"
"Tim Trans Lojistik Dış Ticaret Ltd. Şti.","Firma","Uluslararası kara, deniz ve hava taşımacılığı","Nakliyeilanı kaynak kaydında karayolu çalışılan ülkeler Ukrayna, Rusya, Belarus ve Kazakistan olarak listeleniyor; hedef pazar bağlantıları Rusya, Ukrayna ve Kazakistan olarak doğrulanıyor.","info@timtrans.com.tr","","https://m.nakliyeilani.com/firmalar/BFA19861-7F3C-41BB-BAC9-893CE8ABAE26/tim-trans-lojistik-dis-ticaret-limited-sirketi","https://m.nakliyeilani.com/firmalar/BFA19861-7F3C-41BB-BAC9-893CE8ABAE26/tim-trans-lojistik-dis-ticaret-limited-sirketi"
"Proje Global Lojistik","Firma","Gürcistan, Kafkasya ve Orta Asya nakliye hizmetleri","Resmi Gürcistan nakliye sayfasında Türkiye'den çıkan yüklerin Gürcistan üzerinden Azerbaycan, Rusya, Türkmenistan, Kırgızistan, Kazakistan ve Özbekistan'a taşındığı belirtiliyor; hedef pazar bağlantıları doğrulanıyor.","info@projeglobal.com","+90 324 336 33 34; +90 546 831 74 71","https://www.projeglobal.com/gurcistan-nakliye-turkiye-nakliye/","https://www.projeglobal.com/gurcistan-nakliye-turkiye-nakliye/"
"Saygınlar Nakliyat","Firma","Gürcistan ve uluslararası nakliye","Resmi Gürcistan nakliye sayfasında Gürcistan taşıma hizmeti ve şirket iletişim emaili yer alıyor; Gürcistan hedef pazar bağlantısı doğrulanıyor.","info@sayginlarnakliyat.com","+90 326 225 26 88","https://www.sayginlarnakliyat.com/gurcistan-nakliye/","https://www.sayginlarnakliyat.com/gurcistan-nakliye/"
"ŞEMS Uluslararası Nakliyat","Firma","Azerbaycan ve Gürcistan yüklemeleri, proje lojistiği","Kaynakta Azerbaycan-Gürcistan yüklemeleri için firma iletişim bilgisi verilmiş; hedef pazar bağlantıları Azerbaycan ve Gürcistan olarak doğrulanıyor.","info@semstrans.com.tr","+90 531 212 53 47","","https://www.facebook.com/groups/536216849847312/"
"Export Sales","Firma","Türkiye'den uluslararası dış ticaret ve ihracat satış aracılığı","Resmi sitede Türkiye'den dünyaya yüksek kaliteli ürün tedariki ve uluslararası ticaret hizmeti belirtiliyor; hedef pazarlar için potansiyel dış ticaret tedarik kanalı olarak eklendi.","info@exportsales.com.tr","+90 507 277 51 83","https://www.exportsales.com.tr/","https://www.exportsales.com.tr/"
