firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Sabah Yatak San. ve Tic. A.Ş. / Sabah Bedding","Firma","Otel yatakları, mattress, baza ve bedding sistemleri","TİM Kazakhstan-Kyrgyzstan 2024 ticaret heyeti katılımcısı; resmi sitede Radisson Hotel Group için Türkiye, Azerbaycan ve Gürcistan preferred partner olduğu ve uluslararası otel zincirlerine tedarik yaptığı belirtiliyor.","sabah@sabahyatak.com.tr","+90 216 442 62 62; +90 282 655 59 76","https://www.sabahbedding.com/","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/sabah-bedding; https://www.sabahbedding.com/; https://turkishhorecaequipment365.com/en/company/sabah-yatak-san-ve-tic-a-s/5f478387f5b3b120b437bd30"
"Batusan Makina Sanayi ve Ticaret A.Ş. / Batu Valve","Firma","Endüstriyel vana, küresel vana ve akış kontrol çözümleri","Resmi ihracat sayfasında Azerbaycan, Gürcistan, Rusya ve Ukrayna dahil 26 ülkeye ihracat yaptığı; kalite sertifikaları sayfasında Rusya ve Ukrayna ürün sertifikaları bulunduğu belirtiliyor.","info@batusan.com.tr; export@batusan.com; batuankara@batusan.com.tr; yalcinarslan@batusan.com","+90 262 754 75 48; +90 262 754 99 31; +90 532 681 32 76","https://batusan.com/tr/ihracat","https://batusan.com/tr/ihracat; https://batusan.com/tr/iletisim/; https://www.batusan.com/iletisim.html; https://batusan.com/our-quality-certificates/"
"Mira Ekspres Lojistik","Firma","Rusya, Ukrayna, Kazakistan, Azerbaycan, Gürcistan ve Kırgızistan nakliye/lojistik","Resmi sitede Türkiye'den Ukrayna, Rusya, Kazakistan, Özbekistan, Azerbaycan, Gürcistan ve Kırgızistan dahil ülkelere lojistik sağladığı; Kazakistan sayfasında Gürcistan-Azerbaycan rotası belirtildiği görülüyor.","info@miraekspres.com; info@miraeskpres.com","+90 544 238 75 05; +7 701 505 67 45; +7 961 621 74 36","https://www.miraekspres.com/","https://www.miraekspres.com/; https://www.miraekspres.com/iletisim/; https://www.miraekspres.com/en/; https://www.miraekspres.com/en/ukraine-shipping/; https://www.miraekspres.com/en/offices/"
"Ar Kağıt Kozmetik San. ve Tic. A.Ş. / Papilion","Firma","Islak mendil, hijyenik kağıt, kişisel bakım ve temizlik ürünleri","Resmi Papilion/Ar Kağıt kaynaklarında Türkiye üreticisi olduğu ve 90'dan fazla ülkeye ihracat yaptığı belirtiliyor; Orta Asya, Kafkasya, Rusya ve Ukrayna hedef pazarları için hijyen/FMCG üretici adayı olarak eklendi.","info@arkagit.com","+90 533 477 85 60","https://papilion.com/contact-us","https://papilion.com/contact-us; https://papilion.com/; http://arkagit.com/; https://www.facebook.com/papilion.arkagit/"
"Nubecon Petrol Chemical Foreign Trade","Firma","Yangın söndürme köpüğü, fire fighting foam ve endüstriyel kimya","TurkishExporter kaynağında Türkiye üretici/ihracatçı firması olarak listeleniyor; yangın söndürme köpüğü ve fire extinguishing ürünleri için Rusya, Ukrayna, Azerbaycan, Kazakistan, Kırgızistan, Özbekistan ve Gürcistan hedef pazarlarına uygun endüstriyel kimya adayı.","info@nubecon.com.tr","","http://turkishexporter.com.tr/en/companies/nubecon-petrol-chemical-foreign-trade-196689","http://turkishexporter.com.tr/en/companies/nubecon-petrol-chemical-foreign-trade-196689; https://www.facebook.com/MORX.FireFightingSolutions/posts/morx-foam-cart-is-designed-and-manufactured-to-be-portable-with-wheels-for-easy-/1415419403926985"
"Söke Traktör ve Ekipmanları Petrol Ürünleri San. Tic. Ltd. Şti.","Firma","Traktör yedek parça ve tarım ekipmanları","Söke Ticaret Odası ihracatçı listesinde ihracat pazarları arasında Azerbaycan açıkça yer alıyor; hedef pazar bağlantısı Azerbaycan olarak doğrulanıyor.","soketraktor@jdbayi.com; info@soketraktor.com","+90 256 557 43 95; +90 533 541 91 16","https://www.soketraktor.com/","https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf; https://www.soketraktor.com/i-leti-%C5%9Fi-m"
"Tekmen Tekstil Çırçır Fabrikaları Montaj ve İmali Taah. San. Tic. Ltd. Şti.","Firma","Tarım makineleri ve tekstil/çırçır ekipmanları","Söke Ticaret Odası ihracatçı üyeler listesinde ihracat pazarları Azerbaycan, Özbekistan ve diğer Türk Cumhuriyetleri olarak açıkça yer alıyor; hedef pazar bağlantıları doğrulanıyor.","tekmen@tekmentekstil.com.tr","+90 256 518 70 70","","https://www.sto.org.tr/Portals/15/dis%20ticaret/EXPORTER_MEMBERS_102019.pdf"
"MSK Global Lojistik","Firma","Rusya, Kazakistan, Özbekistan, Türkmenistan taşımaları","Kaynakta Rusya, Kazakistan, Özbekistan ve Türkmenistan taşımalarında güvenilir lojistik ortağı olarak iletişim bilgisi verilmiş; hedef pazar bağlantıları Rusya, Kazakistan ve Özbekistan olarak doğrulanıyor.","msinan@msk-global.com.tr","+90 542 519 27 10","","https://www.instagram.com/p/DT2tbWOiG7Q/"
"Fener Nakliyat","Firma","Gürcistan ve Azerbaycan karayolu ihracat yüklemeleri","Kaynakta Karadeniz üzerinden Gürcistan ve Azerbaycan'a karayolu ihracat yüklemeleri için taşımacılık hizmeti verdiği ve iletişim emaili belirtildiği görülüyor.","info@fenernakliyat.com","+90 216 594 57 40","","https://www.instagram.com/reel/DL-AUnrK9jl/"
"Başak Tarım Ürünleri Sanayi ve Ticaret A.Ş. / Nariçe","Firma","Organik nar, tarım ürünleri ve gıda ihracatı","Söke Ticaret Odası ihracatçı listesinde Türkiye ihracatçı firması olarak yer alıyor; Kafkasya ve Orta Asya gıda/tarım pazarları için aday kaynak olarak eklendi.","info@narice.com.tr; sales@nariceshop.com","+90 256 518 46 61","https://www.narice.com.tr/","https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7%C4%B1%20firmalar_102019.pdf; https://www.nariceshop.com/"
