firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
"Lubratech","Firma","Otomotiv ve endüstriyel yağlar, kimya","TİM Azerbaijan Baku 2026 ticaret heyeti katılımcısı; Azerbaycan bağlantısı doğrudan heyet kaydıyla doğrulanıyor.","","","https://www.lubratech.com.tr/","https://delegations.tim.org.tr/event/azerbaijan-baku-2026/company/lubratech"
"Sağlamlar Plywood","Firma","Plywood, inşaat ve endüstriyel ahşap","TİM Azerbaijan Baku 2026 ticaret heyeti katılımcısı; Azerbaycan pazarı bağlantısı heyet kaydıyla doğrulanıyor.","","","","https://delegations.tim.org.tr/event/azerbaijan-baku-2026/company/saglamlar-plywood"
"Erna Mas Makina Tic. ve San. A.Ş.","Firma","Küçük ev aletleri üretimi","TİM Uzbekistan Tashkent 2026 ticaret heyeti katılımcısı; Özbekistan bağlantısı doğrudan heyet kaydıyla doğrulanıyor.","","","https://ernamas.com/en","https://delegations.tim.org.tr/event/uzbekistan-tashkent-2026/company/erna-mas-1"
"Kuleli","Firma","Mutfak gereçleri, kaşık çatal bıçak","TİM Uzbekistan Tashkent 2026 ticaret heyeti katılımcısı; Özbekistan bağlantısı heyet kaydıyla doğrulanıyor.","","","","https://delegations.tim.org.tr/event/uzbekistan-tashkent-2026/company/kuleli-1"
"Sabah Bedding","Firma","Yatak, baza ve otel tekstili","TİM Kazakhstan-Kyrgyzstan 2024 ticaret heyeti katılımcısı; Kazakistan ve Kırgızistan bağlantısı doğrudan heyet kaydıyla doğrulanıyor.","","","http://www.sabahbedding.com","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/sabah-bedding"
"Haver Farma İlaç A.Ş.","Firma","İlaç ve sağlık ürünleri","TİM Kazakhstan-Kyrgyzstan 2024 ticaret heyeti katılımcısı; Kazakistan ve Kırgızistan bağlantısı heyet kaydıyla doğrulanıyor.","","","http://www.haver.com.tr","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/haver-farma-4"
"Hidrolink Makine San. ve Tic. A.Ş.","Firma","Hidrolik-pnömatik makine ekipmanları","TİM Kazakhstan-Kyrgyzstan 2024 ticaret heyeti katılımcısı; Kazakistan ve Kırgızistan bağlantısı heyet kaydıyla doğrulanıyor.","","","https://www.hidrolinkmakine.com.tr/","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/hidrolink-makine"
"Nüve Sanayi Malzemeleri İmalat ve Ticaret A.Ş.","Firma","Laboratuvar ve sterilizasyon cihazları","TİM Kazakhstan-Kyrgyzstan 2024 ticaret heyeti katılımcısı; Kazakistan ve Kırgızistan bağlantısı heyet kaydıyla doğrulanıyor.","","","http://www.nuve.com.tr","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/nuve"
"Sora Kozmetik Sanayi Ticaret A.Ş.","Firma","Kozmetik ve FMCG","TİM Kazakhstan-Kyrgyzstan 2024 ticaret heyeti katılımcısı; Kazakistan ve Kırgızistan bağlantısı var. Şirket 140+ ihracat pazarına ihracat yaptığını belirtiyor.","","","http://www.soracosmetics.com","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/sora-cosmetics-5"
"Doğal Kimya","Firma","Pestisit, zirai kimya ve gübre","TİM Kazakhstan-Kyrgyzstan 2024 ticaret heyeti katılımcısı; açıklamada Kırgızistan, Kazakistan ve Özbekistan'da şirketleri olduğu belirtiliyor.","","","","https://delegations.tim.org.tr/event/kazakhistan-kyrgystan-2024/company/dogal-kimya"
"Tekasya Tarım Ürünleri Tic. Ltd. Şti.","Firma","Tarım ürünleri","Turkish Industry platformunda listelenen Türk tarım firması; Azerbaycan/Kazakistan/Özbekistan/Rusya pazarı için aday kaynak havuzuna eklendi.","info@tekasya.com","+90 326 221 38 48","https://turkish-industry.com/firma-iletisim/Tekasya-Tarim-Urun-Tic-Ltd-Sti/2035","https://turkish-industry.com/firma-iletisim/Tekasya-Tarim-Urun-Tic-Ltd-Sti/2035"
